pre_village,pre_parish,pre_district,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,pre_cluster
Kagati,Burama,Rukungiri,,43.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,24.0,,0.0,,,,,,,,,,,,
Kyanyamishwa,Ndago,Rukungiri,,32.0,,0.0,,,,,,,,,,,,
Mukajagiro,NYAK-KATONYA,Rukungiri,1879.1,79.0,30.0,0.0,,,,,,,,,,,,
Nyaruziba,NYAK-KAFUNJO,Rukungiri,0.0,65.0,35.0,0.25,,,,,,,,,,40.0,,
Kikoni B,Ndago,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,79.0,,0.0,,,,,,,,,,,,
Rugandu,NYAK-KAFUNJO,Rukungiri,1812.7,38.0,30.0,1.0,,,,,,,,2.0,,,,
Rushinya,Burama,Rukungiri,,55.0,,0.0,,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,60.0,,0.0,,,,,,,,,,,,
Bugomora,NYAK-KAFUNJO,Rukungiri,0.0,52.0,20.0,0.25,,,,,,,,,,60.0,,
Nyakaju,Ndago,Rukungiri,,85.0,,0.0,,,,,,,,,,,,
Kikoni B,Ndago,Rukungiri,,37.0,,0.0,,,,,,,,,,,,
Kabuzigye,NYAK-KAFUNJO,Rukungiri,1956.9,30.0,30.0,0.25,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,23.0,,0.0,,,,,,,,,,,,
Nyakatokye,Ndago,Rukungiri,,77.0,,0.0,,,,,,,,,,,,
Nyakabungo,NYAK-KATONYA,Rukungiri,1992.2,46.0,40.0,0.35,,,,,,,,,,100.0,,
Nyakabungo,NYAK-KATONYA,Rukungiri,1944.1,76.0,40.0,0.6,,,,,,,,,,140.0,,
Ndyabihanga,NYAK-KATONYA,Rukungiri,2030.6,49.0,20.0,0.25,,,,,,,,1.5,,,,
Kitookye,Ndago,Rukungiri,,47.0,,0.0,,,,,,,,,,,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,99.0,10.0,0.07500000000000001,,,,,,,,,,50.0,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,99.0,10.0,0.07500000000000001,,,,,,,,,,50.0,,
Karuhara,Ndago,Rukungiri,,39.0,,0.0,,,,,,,,,,,,
Nyamabare,NYAK-KAFUNJO,Rukungiri,0.0,39.0,30.0,0.5,,,,,,,,,,300.0,,
Bugomora,NYAK-KAFUNJO,Rukungiri,0.0,58.0,30.0,0.5,,,,,,,,,,,,
Rutooma,NYAK-KATONYA,Rukungiri,1958.7,25.0,60.0,0.25,,,,,,,,,,20.0,,
Kashenyi,NYAK-KATONYA,Rukungiri,0.0,53.0,30.0,0.0,,,,,,,,,,50.0,50.0,
Bugomora,NYAK-KAFUNJO,Rukungiri,0.0,90.0,120.0,0.5,,,,,,,,,,20.0,,
Rushinya,Burama,Rukungiri,,47.0,,0.0,,,,,,,,,,,,
Kitookye,Ndago,Rukungiri,,73.0,,0.0,,,,,,,,,,,,
Torotoro,Ndago,Rukungiri,,45.0,,0.0,,,,,,,,,,,,
Kitookye,Ndago,Rukungiri,,74.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,26.0,,0.0,,,,,,,,,,,,
Ndyabihanga,NYAK-KATONYA,Rukungiri,1737.7,38.0,30.0,1.0,,,,,,,,,,20.0,,
Kamira,Ndagu,Rukungiri,,26.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,75.0,,0.0,,,,,,,,,,,,
Kashenyi,NYAK-KATONYA,Rukungiri,0.0,60.0,60.0,0.75,,,,,,,,,,20.0,,
Rushinya,Burama,Rukungiri,,49.0,,0.0,,,,,,,,,,,,
Ruhonwa,NYAK-KATONYA,Rukungiri,1937.6,50.0,30.0,0.0,,,,,,,,,,,,
Rutooma,NYAK-KATONYA,Rukungiri,2018.8,48.0,20.0,0.75,,,,,,,,,,70.0,,
Kajubwe,NYAK-KAFUNJO,Rukungiri,1864.2,40.0,30.0,0.0,,,,,,,,,,35.0,,
Kagorogoro,NYAK-KAFUNJO,Rukungiri,0.0,25.0,20.0,0.325,80.0,,,,,,,2.0,,4.0,,
Kagati,Burama,Rukungiri,,58.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,29.0,,0.0,,,,,,,,,,,,
Mukajagiro,NYAK-KATONYA,Rukungiri,1840.9,39.0,30.0,0.75,170.0,,,,,,,,,,,
Kikoni A,Ndago,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Mukajagiro,NYAK-KATONYA,Rukungiri,1854.0,57.0,60.0,1.0,,,,,,,,,,20.0,,
Rukungiri,Ndago,Rukungiri,,58.0,,0.0,,,,,,,,,,,,
Nyabishaki,NYAK-KAFUNJO,Rukungiri,0.0,68.0,60.0,1.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,45.0,,0.0,,,,,,,,,,,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,35.0,70.0,0.5,,,,,,,,6.0,,45.0,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,35.0,70.0,0.5,,,,,,,,6.0,,45.0,,
Kashenyi,NYAK-KATONYA,Rukungiri,0.0,35.0,120.0,0.5,75.0,,,,,,,,,,,
Kikoni A,Ndago,Rukungiri,,35.0,,0.0,,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,85.0,,0.0,,,,,,,,,,,,
Rutooma,NYAK-KATONYA,Rukungiri,2032.4,28.0,60.0,0.25,,,,,,,,,,5.0,,
Kyanika B,Ndago,Rukungiri,,47.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,29.0,,0.0,,,,,,,,,,,,
Torotoro,Ndago,Rukungiri,,55.0,,0.0,,,,,,,,,,,,
Kikoni A,Ndago,Rukungiri,,32.0,,0.0,,,,,,,,,,,,
Rujoka,NYAK-KATONYA,Rukungiri,1954.0,28.0,30.0,0.3,45.0,,,,,,,,,,,
Kamira,Ndagu,Rukungiri,,63.0,,0.0,,,,,,,,,,,,
Kijubwe,NYAK-KAFUNJO,Rukungiri,0.0,70.0,10.0,0.5,,,,,,,,,,30.0,,
Nyakatokye,Ndago,Rukungiri,,88.0,,0.0,,,,,,,,,,,,
Mushunga,NYAK-KATONYA,Rukungiri,0.0,18.0,10.0,3.0,40.0,,,53.0,,,,,,0.0,,
Mushunga,NYAK-KATONYA,Rukungiri,0.0,50.0,25.0,1.0,,,,,,,,,,30.0,,
Rushinya,Burama,Rukungiri,,58.0,,0.0,,,,,,,,,,,,
Rukungiri,Ndago,Rukungiri,,24.0,,0.0,,,,,,,,,,,,
Kitookye,Ndago,Rukungiri,,31.0,,0.0,,,,,,,,,,,,
Kikoni A,Ndago,Rukungiri,,28.0,,0.0,,,,,,,,,,,,
Bugomora,NYAK-KAFUNJO,Rukungiri,0.0,28.0,120.0,1.5,50.0,,,,,,,,,10.0,,
Nyakaju,Ndago,Rukungiri,,85.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,60.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,29.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,74.0,,0.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,25.0,,0.0,,,,,,,,,,,,
Nyakatokye,Ndago,Rukungiri,,59.0,,0.0,,,,,,,,,,,,
Kajubwe,NYAK-KAFUNJO,Rukungiri,1859.9,50.0,30.0,0.25,,,,,,,,,,20.0,,
Kikoni B,Ndago,Rukungiri,,28.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,50.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,80.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,23.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,41.0,,0.0,,,,,,,,,,,,
Kyanyamishwa,Ndago,Rukungiri,,37.0,,0.0,,,,,,,,,,,,
Bugandaza,NYAK-KAFUNJO,Rukungiri,1823.4,58.0,60.0,0.325,,,,,,,,,,50.0,1.0,
Kagati,Burama,Rukungiri,,33.0,,0.0,,,,,,,,,,,,
Kagasha,NYAK-KAFUNJO,Rukungiri,2158.2,28.0,60.0,1.825,,,,,,,,,,,,
Kahoro,Burama,Rukungiri,,49.0,,0.0,,,,,,,,,,,,
Bugomora,NYAK-KAFUNJO,Rukungiri,0.0,53.0,30.0,1.5,,,,,,,,,,15.0,,
Kyanika A,Ndagu,Rukungiri,,65.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,32.0,,0.0,,,,,,,,,,,,
Rujoka,NYAK-KATONYA,Rukungiri,1999.3,80.0,30.0,0.36,34.0,,,,26.0,,,,,40.0,,
Kikoni A,Ndago,Rukungiri,,48.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,29.0,,0.0,,,,,,,,,,,,
Nyaruziba,NYAK-KAFUNJO,Rukungiri,0.0,67.0,35.0,0.75,,,,,,,,3.0,,120.0,,
Kyanika A,Ndagu,Rukungiri,,62.0,,0.0,,,,,,,,,,,,
Kamira,Ndagu,Rukungiri,,35.0,,0.0,,,,,,,,,,,,
Bugomora,NYAK-KAFUNJO,Rukungiri,0.0,40.0,120.0,1.0,,,,110.0,,,,,,20.0,1.0,
Nyakaju,Ndago,Rukungiri,,39.0,,0.0,,,,,,,,,,,,
Kashenyi,NYAK-KATONYA,Rukungiri,0.0,28.0,90.0,0.25,,,,,,,,,,,,
Mushunga,NYAK-KATONYA,Rukungiri,0.0,52.0,45.0,0.75,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,45.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,42.0,,0.0,,,,,,,,,,,,
Mushunga,NYAK-KATONYA,Rukungiri,0.0,38.0,20.0,0.5,22.0,,,,,,,10.0,,,,
Kikoni B,Ndago,Rukungiri,,45.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,24.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,25.0,,0.0,,,,,,,,,,,,
Kajumera,NYAK-KATONYA,Rukungiri,0.0,27.0,30.0,0.875,,,,,,,,,,40.0,,
Kikoni A,Ndago,Rukungiri,,24.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,30.0,,0.0,,,,,,,,,,,,
Mushunga,NYAK-KATONYA,Rukungiri,0.0,26.0,60.0,0.25,,,,,,,,,,144.0,,
Mugurante,NYAK-KATONYA,Rukungiri,0.0,80.0,30.0,2.75,,,,,,,,,,120.0,,
Kabuzigye,NYAK-KAFUNJO,Rukungiri,1995.0,36.0,45.0,0.75,,,,,,,,,,26.0,,
Mukajagiro,NYAK-KATONYA,Rukungiri,1884.4,80.0,15.0,1.75,,,,,,,,,,120.0,,
Kabeshekyere,Burama,Rukungiri,,30.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,33.0,,0.0,,,,,,,,,,,,
Rukungiri,Ndago,Rukungiri,,45.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,25.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,28.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,35.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,60.0,,0.0,,,,,,,,,,,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,58.0,240.0,1.0,85.0,,,,,,,9.0,,15.0,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,58.0,240.0,1.0,85.0,,,,,,,9.0,,15.0,,
Nyarubira,NYAK-KATONYA,Rukungiri,2030.5,49.0,150.0,0.5,50.0,,,,,,,,,,,
Rugandu,NYAK-KAFUNJO,Rukungiri,1836.8,85.0,30.0,1.75,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,51.0,,0.0,,,,,,,,,,,,
Kafunjo Cell,NYAK-KAFUNJO,Rukungiri,0.0,54.0,15.0,0.875,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,30.0,,0.0,,,,,,,,,,,,
Rutooma,NYAK-KATONYA,Rukungiri,2012.6,49.0,25.0,1.75,,,,,,,,,,35.0,100.0,
Kabuzigye,NYAK-KAFUNJO,Rukungiri,1952.0,65.0,10.0,1.25,20.0,,,,,,,,,,15.0,
Kahoro,Burama,Rukungiri,,56.0,,0.0,,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,27.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,30.0,,0.0,,,,,,,,,,,,
Nyakashenyi,NYAK-KATONYA,Rukungiri,982.0,42.0,30.0,1.5,,,,,,,,5.0,,,,
Kahoro,Burama,Rukungiri,,65.0,,0.0,,,,,,,,,,,,
Nyakatokye,Ndago,Rukungiri,,80.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,34.0,,0.0,,,,,,,,,,,,
Kashenyi,NYAK-KATONYA,Rukungiri,0.0,43.0,60.0,0.25,35.0,,,,,,,,,25.0,,
Rushinya,Burama,Rukungiri,,45.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,65.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,57.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,60.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,45.0,,0.0,,,,,,,,,,,,
Rutooma,NYAK-KAFUNJO,Rukungiri,0.0,42.0,80.0,0.75,36.0,,,,,,,5.0,,30.0,,
Rutooma,NYAK-KATONYA,Rukungiri,2022.3,50.0,50.0,0.6,,,,,,,,110.0,,30.0,,
Bugomora,NYAK-KAFUNJO,Rukungiri,0.0,29.0,30.0,1.5,,,,,,,,,,15.0,,
Kafunjo Cell,NYAK-KAFUNJO,Rukungiri,1818.3,33.0,10.0,7.8,52.0,,,,,,,,,80.0,,
Nyakabare,NYAK-KATONYA,Rukungiri,1971.1,45.0,30.0,1.8,,,,,,,,,,96.0,,
Kajumera,NYAK-KATONYA,Rukungiri,1882.4,36.0,60.0,0.8,,,,,,,,,,30.0,,
Kyanika B,Ndago,Rukungiri,,37.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Kikoni B,Ndago,Rukungiri,,35.0,,0.0,,,,,,,,,,,,
Kikoni A,Ndago,Rukungiri,,78.0,,0.0,,,,,,,,,,,,
Mushunga,NYAK-KATONYA,Rukungiri,0.0,34.0,30.0,2.0,25.0,,,,,,,,,,,
Nyakashenyi,NYAK-KATONYA,Rukungiri,1131.1,45.0,60.0,0.75,28.0,,,,,,,4.0,,,,
Nyakasharara,Burama,Rukungiri,,20.0,,0.0,,,,,,,,,,,,
Nyakatokye,Ndago,Rukungiri,,64.0,,0.0,,,,,,,,,,,,
Rukungiri,Ndago,Rukungiri,,75.0,,0.0,,,,,,,,,,,,
Kyanyamishwa,Ndago,Rukungiri,,32.0,,0.0,,,,,,,,,,,,
Rujoka,NYAK-KATONYA,Rukungiri,2034.2,35.0,30.0,1.0,60.0,,,,,,,,,30.0,,
Rwemirongo,Burama,Rukungiri,,62.0,,0.0,,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,28.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,26.0,,0.0,,,,,,,,,,,,
Kabuzigye,NYAK-KAFUNJO,Rukungiri,1941.5,54.0,30.0,1.75,66.0,,,,,,,,,96.0,,
Kibarama,Burama,Rukungiri,,32.0,,0.0,,,,,,,,,,,,
Nyaruziba,NYAK-KAFUNJO,Rukungiri,0.0,24.0,60.0,0.25,50.0,,,,,,,,,,,
Kyanika A,Ndagu,Rukungiri,,25.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,37.0,,0.0,,,,,,,,,,,,
Kafunjo Cell,NYAK-KAFUNJO,Rukungiri,0.0,26.0,30.0,0.375,60.0,5.5,,,,,,5.0,,,,
Ndyabihanga,NYAK-KATONYA,Rukungiri,2073.7,34.0,60.0,0.75,,,,,,,,,,,,
Kikoni B,Ndago,Rukungiri,,25.0,,0.0,,,,,,,,,,,,
Rwangura,NYAK-KATONYA,Rukungiri,0.0,60.0,40.0,2.495,135.0,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,24.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,45.0,,0.0,,,,,,,,,,,,
Kajumera,NYAK-KATONYA,Rukungiri,1965.7,29.0,20.0,0.65,,,,,,,,,,2.0,,
Kibarama,Burama,Rukungiri,,28.0,,0.0,,,,,,,,,,,,
Kajumera,NYAK-KATONYA,Rukungiri,1822.6,58.0,30.0,2.75,,,,,,,,,,120.0,,
Kagati,Burama,Rukungiri,,30.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,64.0,,0.0,,,,,,,,,,,,
Kagorogoro,NYAK-KAFUNJO,Rukungiri,0.0,53.0,30.0,0.5,42.0,,3.0,,,,,14.0,,30.0,,
Kyanika A,Ndago,Rukungiri,,47.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,60.0,,0.0,,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,26.0,,0.0,,,,,,,,,,,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,48.0,60.0,1.25,65.0,,,,,,,6.0,,25.0,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,48.0,60.0,1.25,65.0,,,,,,,6.0,,25.0,,
Nyakasharara,Burama,Rukungiri,,33.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,38.0,,0.0,,,,,,,,,,,,
Kikoni B,Ndago,Rukungiri,,38.0,,0.0,,,,,,,,,,,,
Torotoro,Ndago,Rukungiri,,87.0,,0.0,,,,,,,,,,,,
Kikoni A,Ndago,Rukungiri,,72.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,26.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,43.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,50.0,,0.0,,,,,,,,,,,,
Rugandu,NYAK-KAFUNJO,Rukungiri,2059.5,67.0,30.0,0.49975,,,,120.0,,,,,,7.0,,
Torotoro,Ndago,Rukungiri,,76.0,,0.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,50.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,44.0,,0.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,32.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,53.0,,0.0,,,,,,,,,,,,
Kamira,Ndagu,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,32.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,36.0,,0.0,,,,,,,,,,,,
Bugomora,NYAK-KAFUNJO,Rukungiri,0.0,34.0,60.0,1.0,70.0,,,,,,,,,38.0,,
Kagati,Burama,Rukungiri,,33.0,,0.0,,,,,,,,,,,,
Torotoro,Ndago,Rukungiri,,55.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,30.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,27.0,,0.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,56.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,50.0,,0.0,,,,,,,,,,,,
Nyabishaki,NYAK-KAFUNJO,Rukungiri,0.0,46.0,60.0,0.25,15.0,,,,,,,,,,,
Rutooma,NYAK-KAFUNJO,Rukungiri,0.0,40.0,30.0,0.825,45.0,,,,,,,3.0,,40.0,,
Kagati,Burama,Rukungiri,,35.0,,0.0,,,,,,,,,,,,
Kyanyamishwa,Ndago,Rukungiri,,30.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,34.0,,0.0,,,,,,,,,,,,
Mugurante,NYAK-KATONYA,Rukungiri,0.0,25.0,20.0,0.25,24.0,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,63.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,59.0,,0.0,,,,,,,,,,,,
Rukungiri,Ndago,Rukungiri,,64.0,,0.0,,,,,,,,,,,,
Kikoni B,Ndago,Rukungiri,,58.0,,0.0,,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,25.0,,0.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,45.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,38.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,33.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Bugomora,NYAK-KAFUNJO,Rukungiri,0.0,34.0,60.0,0.0,,,,,,,,,,,,
Kyanika A,Ndagu,Rukungiri,,37.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,25.0,,0.0,,,,,,,,,,,,
Nyakakizi,NYAK-KAFUNJO,Rukungiri,1865.4,47.0,30.0,0.8,250.0,,,,,,,,,,,
Nyabishaki,NYAK-KAFUNJO,Rukungiri,2173.3,52.0,240.0,1.05,,,,,,,,,,,,
Kahoro,Burama,Rukungiri,,31.0,,0.0,,,,,,,,,,,,
Nyakaju,Ndago,Rukungiri,,65.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,30.0,,0.0,,,,,,,,,,,,
Kamira,Ndagu,Rukungiri,,68.0,,0.0,,,,,,,,,,,,
Kagati,Kagati,Rukungiri,,61.0,,0.0,,,,,,,,,,,,
Rujoka,NYAK-KATONYA,Rukungiri,1977.7,39.0,30.0,0.25,,,,,,,,,,,,
Mushunga,NYAK-KATONYA,Rukungiri,0.0,45.0,30.0,0.55,35.0,,,,,,,,,30.0,,
Kagati,Burama,Rukungiri,,45.0,,0.0,,,,,,,,,,,,
Kikoni B,Ndago,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Kagorogoro,NYAK-KAFUNJO,Rukungiri,0.0,40.0,20.0,0.825,,,,,,,,5.0,,100.0,,
Nyakasharara,Burama,Rukungiri,,51.0,,0.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,30.0,,0.0,,,,,,,,,,,,
Torotoro,Ndago,Rukungiri,,38.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,57.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,34.0,,0.0,,,,,,,,,,,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,68.0,240.0,0.25,15.0,,,,,,,3.0,,30.0,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,68.0,240.0,0.25,15.0,,,,,,,3.0,,30.0,,
Kagati,Burama,Rukungiri,,29.0,,0.0,,,,,,,,,,,,
Kagati,Burama,Rukungiri,,37.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,46.0,,0.0,,,,,,,,,,,,
Bugomora,NYAK-KAFUNJO,Rukungiri,0.0,46.0,60.0,0.75,,,,,,,,,,30.0,5.0,
Kibarama,Burama,Rukungiri,,27.0,,0.0,,,,,,,,,,,,
Kyanika A,Ndagu,Rukungiri,,25.0,,0.0,,,,,,,,,,,,
Kabuzigye,NYAK-KAFUNJO,Rukungiri,1938.4,48.0,30.0,0.4975,,,,,,,,,,9.0,,
Kyanika A,Ndagu,Rukungiri,,42.0,,0.0,,,,,,,,,,,,
Nyakabare,NYAK-KATONYA,Rukungiri,1947.5,45.0,120.0,0.8,57.0,,,,,,,,,20.0,,
Kikoni B,Ndago,Rukungiri,,27.0,,0.0,,,,,,,,,,,,
Kikoni B,Ndago,Rukungiri,,47.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,70.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,57.0,,0.0,,,,,,,,,,,,
Kitookye,Ndago,Rukungiri,,70.0,,0.0,,,,,,,,,,,,
Nyakatokye,Ndago,Rukungiri,,63.0,,0.0,,,,,,,,,,,,
Nyabishaki,NYAK-KAFUNJO,Rukungiri,2174.6,65.0,240.0,0.5,110.0,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,35.0,,0.0,,,,,,,,,,,,
Kamira,Ndagu,Rukungiri,,37.0,,0.0,,,,,,,,,,,,
Kyanika A,Ndagu,Rukungiri,,63.0,,0.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,44.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,47.0,,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,24.0,,0.0,,,,,,,,,,,,
Nyarubira,NYAK-KATONYA,Rukungiri,2066.4,50.0,30.0,0.8500000000000001,15.0,,,,,,,,,,,
Kagati,Burama,Rukungiri,,53.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,33.0,,0.0,,,,,,,,,,,,
Nyakatokye,Ndago,Rukungiri,,54.0,,0.0,,,,,,,,,,,,
Bugandaza,NYAK-KAFUNJO,Rukungiri,1876.0,30.0,120.0,0.325,25.0,,,,,,,11.0,,50.0,,
Kamira,Ndagu,Rukungiri,,32.0,,0.0,,,,,,,,,,,,
Kyanika A,Ndagu,Rukungiri,,48.0,,0.0,,,,,,,,,,,,
Kyanika B,Ndago,Rukungiri,,35.0,,0.0,,,,,,,,,,,,
Kabijaga,NYAK-KAFUNJO,Rukungiri,0.0,40.0,120.0,0.875,,,,100.0,,,,5.0,,30.0,15.0,
Kikoni B,Ndago,Rukungiri,,46.0,,0.0,,,,,,,,,,,,
Kyanika A,Ndagu,Rukungiri,,48.0,,0.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,36.0,,0.0,,,,,,,,,,,,
Kabeshekyere,Burama,Rukungiri,,27.0,,0.0,,,,,,,,,,,,
Kyanika A,Ndagu,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Kahoro,Burama,Rukungiri,,20.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,56.0,,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,31.0,,0.0,,,,,,,,,,,,
Kikoni B,Ndago,Rukungiri,,62.0,,0.0,,,,,,,,,,,,
Kamira,Ndagu,Rukungiri,,23.0,,0.0,,,,,,,,,,,,
Rwemirongo,Burama,Rukungiri,,41.0,,0.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,77.0,,0.0,,,,,,,,,,,,
Kyanyamishwa,Ndago,Rukungiri,,35.0,,0.0,,,,,,,,,,,,
Kikoni B,Ndago,Rukungiri,,72.0,,0.0,,,,,,,,,,,,
Ndyabihanga,NYAK-KATONYA,Rukungiri,1896.6,46.0,60.0,0.25,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,56.0,,0.0,,,,,,,,,,,,
