pre_village,pre_parish,pre_district,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,pre_cluster
Kigimbi B,RYENGYERERO,Mitooma,1527.1,49.0,70.0,0.0,,,,,,,,,,,,
Buhasha A2,RYENGYERERO,Mitooma,1656.4,40.0,5.0,0.0,,,,,,,,,,,,
Nyarwanya A,KATAGATA,Mitooma,1561.9,53.0,60.0,0.5,,,,,,,,,,,,
Kenshumba,KATAGATA,Mitooma,1617.2,50.0,30.0,1.75,,,,,,,,,,60.0,1.0,
Nyarwanya A,KATAGATA,Mitooma,1555.5,50.0,60.0,0.75,,,,,,,,,,,,
Nyarwanya A,KATAGATA,Mitooma,1577.2,68.0,60.0,1.25,32.0,,,,,,,,,,,
Rucururu,RWAMUJURA,Mitooma,1528.2,84.0,30.0,0.75,,,,,,,,,,40.0,100.0,
Rwengyerero B,RYENGYERERO,Mitooma,1602.6,25.0,12.0,2.0,22.0,,,,,78.0,,,,55.0,,
Mutanoga,RWAMUJURA,Mitooma,0.0,35.0,30.0,1.1,75.0,,,,,,,,,,,
Kigimbi A,RYENGYERERO,Mitooma,1581.1,55.0,10.0,0.75,,,,,,,,,,90.0,,
Nkongi,KASHASHA,Mitooma,1176.0,51.0,20.0,0.88,50.0,,,,,,,,,,,
Katangyemeko,KASHASHA,Mitooma,0.0,43.0,30.0,0.5,70.0,,,,,,,,,,20.0,
Rugando,RWAMUJURA,Mitooma,1605.3,76.0,20.0,0.25,40.0,,,,,,,,,20.0,1.0,
Kigimbi A,RYENGYERERO,Mitooma,1597.5,26.0,10.0,0.75,35.0,,,,,,,,,80.0,,
Kibaya,KASHASHA,Mitooma,1156.8,69.0,30.0,0.25,35.0,,,,,,,,,25.0,,
Rucururu,RWAMUJURA,Mitooma,0.0,37.0,45.0,0.0,123.0,,,,,,,,,40.0,12.0,
Buhasha A2,RYENGYERERO,Mitooma,1555.3,60.0,20.0,0.25,,,,,,,,,,,,
Kashasha,KASHASHA,Mitooma,1161.8,40.0,120.0,1.0,40.0,,,,,,,,,20.0,,
Buhasha B1,RYENGYERERO,Mitooma,1621.2,45.0,30.0,1.75,25.0,,,,,,,,,100.0,4.0,
Kihungye,KASHASHA,Mitooma,1166.0,75.0,20.0,0.75,45.0,,,,,,,,,52.0,30.0,
Rwamujura,RWAMUJURA,Mitooma,0.0,38.0,60.0,0.25,,,,,,,,,,80.0,5.0,
Katangyemeko,KASHASHA,Mitooma,0.0,54.0,90.0,1.0,,,,,,,,,,,0.0,
Rugando,RWAMUJURA,Mitooma,1606.7,60.0,60.0,0.85,,,,,,,,,,80.0,,
Kibaya,KASHASHA,Mitooma,0.0,43.0,80.0,0.75,35.0,,,,,,,,11.0,0.0,,
Buhasha B1,RYENGYERERO,Mitooma,1660.6,43.0,20.0,0.75,,,,,,,,,,40.0,,
Kibingo,KASHASHA,Mitooma,1204.6,75.0,30.0,2.0,,,,,,,,,,10.0,60.0,
Nkongi,KASHASHA,Mitooma,1183.5,25.0,10.0,1.97,,,2.0,,,,,,,,,
Katangyemeko,KASHASHA,Mitooma,0.0,24.0,60.0,0.25,,,,,,,,,,0.0,0.0,
Rwamujura,RWAMUJURA,Mitooma,1609.5,30.0,30.0,0.5,,,,,,,,,,30.0,,
Rurama_Kashasha,KASHASHA,Mitooma,1186.2,42.0,40.0,0.75,62.0,,,,,,,,,35.0,,
Kibaya,KASHASHA,Mitooma,1167.6,65.0,30.0,0.25,35.0,,,,,,,17.0,,40.0,2.0,
Nyarushinya,KASHASHA,Mitooma,0.0,35.0,30.0,0.75,,,,,,,,,,40.0,100.0,
Kashasha,KASHASHA,Mitooma,1155.9,45.0,10.0,0.6,35.0,,,,,,,,,,,
Kenshumba,KATAGATA,Mitooma,1639.7,70.0,30.0,0.25,,,,,,,,,,40.0,,
Rwengyerero B,RYENGYERERO,Mitooma,1672.5,45.0,35.0,0.75,125.0,,,,,,,,,55.0,,
Kibaya,KASHASHA,Mitooma,1165.9,43.0,30.0,0.25,,,,,,,,,,30.0,0.0,
Katangyemeko,KASHASHA,Mitooma,0.0,43.0,48.0,0.3,24.0,,,,,,,,,,,
Rucururu,RWAMUJURA,Mitooma,1533.6,61.0,20.0,0.75,100.0,,,,,,,3.0,,60.0,100.0,
Rucururu,RWAMUJURA,Mitooma,0.0,53.0,30.0,0.75,,,,,,,,,,,60.0,
Kashasha,KASHASHA,Mitooma,1171.5,36.0,120.0,0.5,70.0,,,,,,,,,30.0,0.0,
Nyarushinya,KASHASHA,Mitooma,0.0,50.0,20.0,2.75,,,,,,,,,,,,
Katagata,KATAGATA,Mitooma,1608.6,43.0,120.0,0.96,55.0,,,,,,,,,,,
Kaniampiiha,KASHASHA,Mitooma,1194.3,24.0,15.0,0.5,40.0,,,,,,,,,,,
Nyarwanya B,KATAGATA,Mitooma,1537.4,40.0,120.0,0.3,,,,,,,,,,50.0,150.0,
Rwengyerero A,RYENGYERERO,Mitooma,1599.1,49.0,20.0,0.4,,,,,,,,,,48.0,,
Rutooma,RWAMUJURA,Mitooma,1595.1,70.0,30.0,0.85,,,,,,,,,,100.0,80.0,
Rwengyerero B,RYENGYERERO,Mitooma,1606.5,52.0,14.0,0.75,60.0,,,,,,,,,60.0,,
