pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Mugombwa,Rubirizi,Nyabubare,1154.6333333333334,52.0,1.4916666666666665,63.125,146.0,6.0,8.625,,221.9,,,5.0,346.6666666666667,81.5,238.30769230769232,2022
Munyonyi_1,Rubirizi,Munyonyi,1459.3,42.96666666666667,0.88,37.1,135.72,19.952380952380953,,,314.7647058823529,,28.0,17.333333333333332,115.0,72.9047619047619,117.91666666666667,2022
Munyonyi_2A,Rubirizi,Munyonyi,1332.81,48.266666666666666,1.365,35.5,143.4,7.75,4.0,,130.57692307692307,,,15.0,,126.75862068965517,174.07407407407408,2022
Munyonyi_2B,Rubirizi,Munyonyi,1376.7,45.96666666666667,1.7948275862068965,28.5,105.45454545454545,5.333333333333333,100.0,,109.0,,16.5,,50.0,85.95833333333333,176.0,2022
Munyonyi_3,Rubirizi,Nyandongo,1266.6033333333332,47.36666666666667,0.8866071428571428,34.833333333333336,86.94444444444444,6.666666666666667,,,58.333333333333336,,,6.0,,126.34615384615384,121.66666666666667,2022
Munyonyi_4,Rubirizi,Nyandongo,1331.5791666666667,45.416666666666664,0.982608695652174,42.75,127.3529411764706,8.6,6.0,,55.0,,,4.0,70.0,89.04761904761905,371.5,2022
Munyonyi_5,Rubirizi,Munyonyi,1347.2533333333333,46.8,1.0166666666666666,23.0,135.54545454545453,31.833333333333332,2.25,,314.35714285714283,65.0,,6.0,95.0,89.0,121.5,2022
Nyabubare_I,Rubirizi,Nyabubare,1097.8466666666668,50.3,1.3839285714285714,35.666666666666664,136.0,3.6,3.8333333333333335,,72.5,,,3.0,230.0,163.86206896551724,204.28571428571428,2022
Nyabubare_Ii,Rubirizi,Nyabubare,1087.23,50.4,1.02,47.333333333333336,102.19047619047619,,7.5,,70.0,,,13.0,179.66666666666666,94.12,705.5263157894736,2022
Nyakagyera,Rubirizi,Nyabubare,1179.0916666666665,48.708333333333336,1.4375,47.916666666666664,102.55,12.0,7.25,,44.0,60.0,,,56.25,61.0,112.0,2022
Nyakanengo_Kakari,Rubirizi,Kakari,1004.2444444444445,48.111111111111114,1.3583333333333334,28.88888888888889,158.1818181818182,,,,109.0,,,,,139.55555555555554,117.14285714285714,2022
Nyakarambi_I,Rubirizi,Kakari,1014.5684210526315,43.63157894736842,1.151388888888889,25.526315789473685,136.07692307692307,,2.0,,81.42857142857143,,,,,129.2941176470588,120.0,2022
Nyakarambi_II,Rubirizi,Kakari,1016.088888888889,47.074074074074076,1.2055555555555555,38.333333333333336,131.42857142857142,14.0,4.5,,67.28571428571429,,,,,77.8125,268.3333333333333,2022
Nyameka,Rubirizi,Nyabubare,1157.375,44.333333333333336,1.0645833333333334,55.208333333333336,142.6,4.875,,,103.75,,,,170.0,145.83333333333334,166.95652173913044,2022
Nyamirama_Rugarama,Rubirizi,Rugarama,1095.4583333333333,47.75,1.3695652173913044,30.541666666666668,96.17647058823529,,27.125,,25.0,,,,280.0,45.0,213.33333333333334,2022
Nyandongo_1A,Rubirizi,Nyandongo,1274.5125,41.166666666666664,0.6791666666666667,49.375,127.86666666666666,21.7,1.5,,138.83333333333334,,,4.0,60.0,78.4,58.0,2022
Nyandongo_1B,Rubirizi,Nyandongo,1307.8958333333333,47.5,1.0166666666666666,68.75,76.84210526315789,11.0,,,79.0,,,,,53.55555555555556,22.5,2022
Nyandongo_2,Rubirizi,Nyandongo,1273.1625000000001,46.083333333333336,0.84375,32.5,124.5625,13.25,4.25,,391.1111111111111,,,2.0,,77.35,167.5,2022
Nyandongo_3,Rubirizi,Nyandongo,1350.575,48.25,1.0208333333333333,54.458333333333336,122.22222222222223,14.428571428571429,,,177.33333333333334,,,,,145.91304347826087,150.0,2022
Nyaruhanga_Kakari,Rubirizi,Kakari,992.885,51.95,1.01,19.65,143.6153846153846,10.5,,,225.0,,,,70.0,173.875,130.0,2022
Rugarama_I,Rubirizi,Rugarama,991.0291666666667,43.0,1.16875,24.375,123.92857142857143,,,105.0,443.6666666666667,,,,,94.77272727272727,65.0,2022
Rugarrama_Ii,Rubirizi,Rugarama,1030.9125,48.375,0.8333333333333334,47.5,104.5909090909091,8.75,22.0,,235.71428571428572,37.5,,9.625,117.0,62.30769230769231,114.28571428571429,2022
Rusoro,Rubirizi,Rugarama,1059.11,45.93333333333333,1.4293103448275863,48.0,116.0909090909091,12.0,3.5,,128.33333333333334,76.5,,,76.25,146.15384615384616,192.15384615384616,2022
Rutondo,Rubirizi,Nyabubare,1046.0,46.583333333333336,1.4739583333333333,49.375,135.47619047619048,30.0,2.0,,642.5,,,,97.33333333333333,158.94117647058823,276.9230769230769,2022
Rwemicheka,Rubirizi,Kyabakara,1055.6433333333332,45.4,1.28,30.833333333333332,128.23809523809524,,5.375,,110.0,,,,110.0,118.5,142.5,2022
Bigandu,Rubanda,Mushanje,2285.211111111111,41.888888888888886,2.211388888888889,71.11111111111111,212.0,17.625,,,,,,,,,,2022
Bugandaro_Kacerere,Rubanda,Mukitojo,2238.4500000000003,51.0,0.5208333333333334,64.16666666666667,131.41666666666666,16.25,,,,,,4.6875,,16.5,22.0,2022
Bugandaro_Kagunga,Rubanda,Bunagana,2037.7333333333333,52.333333333333336,1.2858333333333334,31.0,151.66666666666666,4.0,,,,,,4.458333333333333,,12.75,,2022
Bugara_Kagunga,Rubanda,Ruhungu,2034.925,49.916666666666664,1.60625,40.0,189.0,15.5,,155.4,,,,10.333333333333334,,20.0,,2022
Bugomora_Kishanje,Rubanda,Kishanje,2166.409090909091,47.63636363636363,0.7090909090909091,81.81818181818181,146.66666666666666,14.0,,,,,,4.611111111111111,,8.75,,2022
Buhanyura,Rubanda,Kashasha,1960.9,51.09090909090909,1.2336363636363636,20.454545454545453,101.5,7.5,,,75.0,,,7.611111111111111,,16.0,,2022
Bunagana,Rubanda,Bunagana,2095.2727272727275,41.90909090909091,1.5545454545454547,75.0,92.54545454545455,7.0,,,,,,6.0,,6.6,0.0,2022
Buniga,Rubanda,Rwakaroro,2063.746153846154,48.46153846153846,0.8638461538461539,27.307692307692307,152.08333333333334,18.166666666666668,,,,,,4.055555555555555,,20.444444444444443,,2022
Buremba,Rubanda,Nyamabare,1959.3833333333332,43.833333333333336,0.9333333333333332,40.166666666666664,130.54545454545453,,,,,,,6.1,,8.285714285714286,,2022
Bushaara,Rubanda,Bunagana,2090.5636363636363,45.81818181818182,2.326363636363636,96.36363636363636,195.55555555555554,10.666666666666666,,,,,,11.166666666666666,,41.5,500.0,2022
Bushambara,Rubanda,Ruhungu,2022.0333333333335,53.833333333333336,1.6208333333333333,37.75,240.41666666666666,,,346.25,,,,173.16666666666666,,30.0,,2022
Bushure,Rubanda,Mugyera,1998.0,54.333333333333336,0.5833333333333334,71.66666666666667,129.36363636363637,9.0,,192.5,,,,4.4,,21.0,,2022
Butaahwa,Rubanda,Bunagana,1995.22,52.7,0.845,24.0,75.3,,,,,,,13.375,,17.88888888888889,,2022
Butusi,Rubanda,Mugyera,1540.7666666666667,59.666666666666664,1.7055555555555557,59.44444444444444,399.375,22.333333333333332,,,,,,5.428571428571429,,30.0,,2022
Bwambali,Rubanda,Ruhungu,1964.5083333333332,55.0,1.3666666666666665,27.166666666666668,150.9090909090909,,,450.0,,,,4.35,,9.5,,2022
Habuhinga,Rubanda,Ruhungu,2026.9750000000001,50.333333333333336,1.0,50.25,158.0,,,,,,,3.9285714285714284,,25.0,,2022
Habuhinga_Kishanje,Rubanda,Kishanje,2144.0499999999997,47.25,0.9708333333333333,35.416666666666664,186.83333333333334,25.2,,350.0,,,,4.4375,,6.666666666666667,,2022
Ihunga,Rubanda,Kagogo,2070.976923076923,41.53846153846154,0.5115384615384616,55.76923076923077,115.54545454545455,20.625,,,,,,4.5,,4.666666666666667,,2022
Kacerere_Bufundi,Rubanda,Mukitojo,2050.6384615384613,47.61538461538461,1.0653846153846154,21.0,161.66666666666666,6.333333333333333,,,,,,4.416666666666667,,6.6,,2022
Kacwamuhoro,Rubanda,Nyamabare,2116.269230769231,54.07692307692308,0.7346153846153847,56.92307692307692,143.0,11.46875,,150.0,,,,12.125,,6.111111111111111,,2022
Kagali,Rubanda,Kashasha,2007.8916666666667,42.833333333333336,0.9058333333333334,23.75,150.66666666666666,18.5,,250.0,,,,5.666666666666667,,12.25,,2022
Kagogo,Rubanda,Kagogo,2004.86,52.9,0.5,46.0,162.0,13.666666666666666,,,,,,6.333333333333333,,3.75,,2022
Kagugo_Kacerere,Rubanda,Rwakaroro,2043.6363636363637,46.81818181818182,0.8409090909090909,65.9090909090909,124.9090909090909,,,,,,,8.55,,7.454545454545454,,2022
Kagunga_Kagunga,Rubanda,Ruhungu,2123.1846153846154,53.23076923076923,1.1261538461538463,71.15384615384616,123.72727272727273,16.0,,,,,,6.554545454545454,,21.25,,2022
Kamihunge,Rubanda,Kishanje,2355.0416666666665,47.583333333333336,1.05,104.58333333333333,139.16666666666666,,,125.0,,,,123.57142857142857,,26.25,,2022
Kamuhoko,Rubanda,Nyamabare,2022.409090909091,42.90909090909091,1.231818181818182,21.363636363636363,205.55555555555554,378.75,,200.0,,,,90.0,,30.0,60.0,2022
Kantora,Rubanda,Nyamabare,2042.4583333333333,43.5,0.8641458333333333,35.0,132.2,8.5,,,,,,26.5,,7.5,,2022
Karondo,Rubanda,Kashasha,2004.9363636363635,40.63636363636363,0.7085909090909092,52.81818181818182,66.5,7.5,,220.0,,,,,,10.6,,2022
Kashambya_Kacerere,Rubanda,Mukitojo,2091.6583333333333,45.666666666666664,1.0166666666666666,15.25,209.0,202.0,,,,,,70.0,,29.0,,2022
Kashambya_Mugyera,Rubanda,Mugyera,2027.7888888888888,51.22222222222222,2.3666666666666667,46.666666666666664,165.55555555555554,,,,,,,5.75,,26.666666666666668,,2022
Kashasha_Ikumba,Rubanda,Kashasha,1977.65,47.3,1.04,61.5,126.75,13.583333333333334,,,,,,4.0,,20.714285714285715,,2022
Kashongati,Rubanda,Kishanje,2090.866666666667,48.583333333333336,0.7291666666666666,42.916666666666664,108.0,,,193.33333333333334,,,,11.166666666666666,,7.142857142857143,,2022
Kashule,Rubanda,Nyamabare,2008.0916666666665,52.583333333333336,0.5875,57.916666666666664,100.0,4.0,,,,,,3.0,,5.25,,2022
Katojo,Rubanda,Kashasha,1798.9181818181817,43.90909090909091,0.3772727272727273,42.27272727272727,165.0,11.5,,,,,,2.9,,4.166666666666667,,2022
Katungu_Kacerere,Rubanda,Kacerere,2108.8900000000003,51.0,1.3122,35.0,192.0,12.5,,,,,,7.5,,,,2022
