pre_village,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Kirimbi,2094.3545454545456,41.54545454545455,0.7318181818181819,24.545454545454547,211.36363636363637,,,,,,,11.722222222222221,,16.0,,2022.0
Kiringa,1982.2416666666668,43.833333333333336,0.9083333333333333,45.833333333333336,270.0,,,,,,,10.916666666666666,,10.75,,2022.0
Kiruruma_Kacerere,2032.1999999999998,53.30769230769231,1.0807692307692307,40.0,178.84615384615384,178.6,,175.0,,,,53.75,,28.75,,2022.0
Kirwa_Kacerere,2012.0416666666667,50.083333333333336,1.4433333333333334,15.416666666666666,197.77777777777777,9.666666666666666,,,,,,5.0,,25.6,10.0,2022.0
Kirwa_Kagunga,2015.4166666666667,53.666666666666664,2.0166666666666666,58.75,172.83333333333334,12.0,,,,,,4.95,,3.0,,2022.0
Kisegenyi,1367.9583333333333,51.916666666666664,2.2333333333333334,72.5,280.0,9.75,,,,,,6.0,,28.0,6.5,2022.0
Kisenyi,2040.3363636363638,53.36363636363637,0.6883795454545454,62.90909090909091,78.25,,,,,,,14.0,,,,2022.0
Kishanje,2118.3166666666666,45.666666666666664,0.9708333333333333,22.666666666666668,188.0,116.33333333333333,,175.0,,,,113.0,,26.666666666666668,,2022.0
Kishanje_Tc,2089.975,53.666666666666664,0.9535,21.25,165.75,12.0,,275.0,,,,16.0,,9.0,,2022.0
Kitabugika_Mugyera,2394.3250000000003,50.083333333333336,0.9479166666666666,280.8333333333333,220.55555555555554,9.666666666666666,,,,,,7.333333333333333,,6.4,,2022.0
Kitahurira,2121.16,56.6,0.7413000000000001,48.5,102.0,11.0,,,,,,14.0,,,,2022.0
Kitongo,1461.95,55.333333333333336,1.8541666666666667,63.75,224.28571428571428,,,,249.0,15.0,,10.375,,272.6,122.0,2022.0
Kitooma,2131.4083333333333,53.166666666666664,0.3833333333333333,26.666666666666668,76.0,,,,,,,4.333333333333333,,4.8,,2022.0
Kitwego,2024.8333333333333,53.916666666666664,0.7955833333333334,28.166666666666668,175.71428571428572,,,260.0,,,,27.5,,9.5,,2022.0
Kizikirungi,1294.4416666666666,49.666666666666664,0.9791666666666666,67.5,109.91666666666667,21.0,16.0,,178.75,,,11.08,,25.3,12.4,2022.0
Kyabaganda,1364.7333333333333,50.333333333333336,1.4124999999999999,88.75,164.125,9.333333333333334,15.0,,237.5,,,,55.0,23.666666666666668,23.5,2022.0
Kyamba,1010.258064516129,50.225806451612904,1.0844827586206895,65.28387096774193,,,5.0,,325.8,148.33333333333334,,5.666666666666667,,7.571428571428571,160.0,2022.0
Kyanika,1289.409090909091,39.36363636363637,1.4772727272727273,32.27272727272727,214.1,,6.266666666666666,,267.22222222222223,,,14.1,,12.5,23.75,2022.0
