garlic_kgs_organic_pesticides,ginger_kgs_organic_pesticides,plastic_tanks_120_ltrs_liquid_manure,sacks_liquid_manure,hoes_tools,spades_tools,pick_axes_tools,forked_hoes_tools,pangas_tools,wheelbarrows_tools,trowels_tools,watering_cans_tools,spray_pumps_tools,Beans_seeds,Maize_seeds,Soyabean_seeds,Gnuts_seeds,Irish Potatoes_seeds,GPS-Altitude,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Cassava_total_yield,Maize_total_yield,Sweet_potatoes_total_yield,Food_banana_total_yield,Coffee_total_yield
0.362781955,0.362781955,0.015037594,0.015037594,0.09018818,0.09018818,0.09018818,0.09018818,0.09018818,0.015037594,0.090225564,0.090225564,0.015037594,4.0,4.0,0.0,4.0,0.0,1398.0,1.9458333333333333,42.583333333333336,295.55555555555554,11.0,1300.0,0.0,28.4,33.333333333333336
0.0,0.0,0.068965517,0.068965517,0.177865613,0.177865613,0.118577075,0.158102767,0.0,0.0,0.0,0.206896552,0.103448276,4.0,2.0,0.0,4.0,0.0,1259.5833333333333,0.9116666666666666,66.25,49.77777777777778,11.0,0.0,11.5,70.71428571428571,159.0
0.36036036,0.36036036,0.072072072,0.144144144,0.018018018,0.018018018,0.018018018,0.018018018,0.018018018,0.036036036,0.018018018,0.036036036,0.036036036,3.0,3.0,0.0,0.0,0.0,2026.975,1.0,50.25,158.0,0.0,0.0,3.928571428571429,25.0,0.0
0.2042780748,0.2042780748,0.041472071,0.0457501457999999,0.222826087,0.176042461,0.0919388468,0.1172553024,0.0124031008,0.0269375857999999,0.0,0.2793392719999999,0.0314388756,3.4,0.0,0.0,3.5,0.0,1521.95,1.224375,36.0,91.64285714285714,0.0,190.0,6.2,110.66666666666669,79.5
0.5,0.5,0.038834951,0.038834951,0.224719101,0.187265918,0.0,0.0,0.038834951,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,1754.8666666666668,0.4688333333333332,15.416666666666666,95.28571428571428,0.0,360.0,10.5,22.75,200.0
0.356589147,0.356589147,0.062015504,0.124031008,0.031007752,0.031007752,0.031007752,0.031007752,0.031007752,0.031007752,0.031007752,0.031007752,0.031007752,3.0,3.0,0.0,0.0,0.0,2039.65,0.7166666666666668,49.583333333333336,116.1,0.0,0.0,6.125,32.666666666666664,0.0
0.352250489,0.352250489,0.015655577,0.031311155,0.070450098,0.070450098,0.070450098,0.054794521,0.054794521,0.015655577,0.039138943,0.070450098,0.007827789,4.0,4.0,0.0,4.0,0.0,1095.6999999999998,1.518333333333333,32.29032258064516,110.74074074074076,3.0,96.22222222222224,13.5,20.25,124.44444444444444
0.356353591,0.356353591,0.022099448,0.022099448,0.099540109,0.099540109,0.099540109,0.099540109,0.099540109,0.022099448,0.099447514,0.099447514,0.022099448,4.0,3.0,0.0,4.0,0.0,1341.5833333333333,2.9575,44.16666666666666,375.0,0.0,1300.0,0.0,66.0,87.5
0.38961039,0.38961039,0.0,0.051948052,0.101593322,0.101593322,0.101593322,0.101593322,0.101593322,0.051948052,0.0,0.101593322,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.6,50.8,88.66666666666667,0.0,20.0,0.0,69.5,75.0
0.5,0.5,0.031746032,0.063492063,0.120378332,0.120378332,0.120378332,0.120378332,0.120378332,0.063492063,0.0,0.126984127,0.063492063,4.0,3.0,0.0,4.0,0.0,1141.0,1.0936363636363635,64.9090909090909,84.0,0.0,0.0,3.0,0.0,75.0
