pre_village,Agriculture Value (USD),pre_district
Kafu-Rugandu,332.43243243243245,Rukungiri
Kibarama,501.35135135135135,Rukungiri
Kafu-Kafunjo Cell,559.1891891891892,Rukungiri
Kafu-Bugomora,317.56756756756755,Rukungiri
Kikoni B,460.3243243243243,Rukungiri
Rwemirongo,322.97297297297297,Rukungiri
Kafu-Nyaruziba,356.2162162162162,Rukungiri
Kamira,267.56756756756755,Rukungiri
Kato-Nyakabare,370.27027027027026,Rukungiri
Nyakatokye,520.2702702702703,Rukungiri
Kahama,113.51351351351352,Rukungiri
Kato-Nyakabare,413.5135135135135,Rukungiri
Kato-Ruhonwa,343.5135135135135,Rukungiri
Kyanika A,318.9189189189189,Rukungiri
Kyanika B,379.05405405405406,Rukungiri
Kafu-Kagasha,516.2162162162163,Rukungiri
Kibarama,416.4864864864865,Rukungiri
Kafu-Rugandu,415.13513513513516,Rukungiri
Kahama,553.2432432432432,Rukungiri
Rushinya,491.2162162162162,Rukungiri
Kikoni A,324.3243243243243,Rukungiri
Kafu-Kabuzigye,510.13513513513516,Rukungiri
Torotoro,548.6486486486486,Rukungiri
Kato-Rujoka,602.972972972973,Rukungiri
Rugarama_Burama,564.8648648648649,Rukungiri
Kikoni A,563.5135135135135,Rukungiri
Kato-Nyakabare,528.3783783783783,Rukungiri
Kamira,340.4054054054054,Rukungiri
Kato-Ndyabihanga,523.2432432432432,Rukungiri
Kibarama,367.56756756756755,Rukungiri
Kafu-Nyaruziba,269.72972972972974,Rukungiri
Kafu-Bugomora,109.1891891891892,Rukungiri
Kamira,118.91891891891892,Rukungiri
Kato-Nyarubira,435.0,Rukungiri
Kyanika B,443.2432432432432,Rukungiri
Kafu-Kafunjo Cell,572.972972972973,Rukungiri
Kato-Kajumera,97.29729729729729,Rukungiri
Kafu-Nyabishaki,279.1621621621622,Rukungiri
Kitookye,638.918918918919,Rukungiri
Kagorogoro,201.35135135135135,Rukungiri
Kafu-Bugomora,253.13513513513513,Rukungiri
Rugarama_Katonya,545.1351351351351,Rukungiri
Nyakaju,559.4594594594595,Rukungiri
Kafu-Nyabishaki,419.5945945945946,Rukungiri
Kibarama,240.54054054054055,Rukungiri
Kato-Ruhonwa,427.02702702702703,Rukungiri
Nyakaju,506.7567567567568,Rukungiri
Nyakatokye,117.56756756756756,Rukungiri
Kato-Ndyabihanga,264.3243243243243,Rukungiri
Kahama,437.8378378378378,Rukungiri
Kafu-Nyaruziba,466.2162162162162,Rukungiri
Kibarama,56.75675675675676,Rukungiri
Kato-Ndyabihanga,551.081081081081,Rukungiri
Kato-Rwangura,617.5675675675676,Rukungiri
Kafu-Nyabishaki,336.2162162162162,Rukungiri
