pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Kashasha_Ikumba,Rubanda,,1977.65,47.3,61.5,1.04,107.444,12.667,,,,,,5.188,,26.667,,2021
Kataburaza,Kanungu,,1343.727,49.636,16.636,1.946,190.2,,11.0,,1300.0,,,19.333,,14.667,28.333,2021
Katembe,Kanungu,,1324.25,56.75,20.917,1.145,289.714,,,,1300.0,130.0,,8.25,,96.25,70.833,2021
Katojo,Rubanda,,1798.918,43.909,42.273,0.318,152.0,84.0,,,,,,10.0,,12.5,,2021
Katungu,Rukungiri,,1844.74,55.4,109.5,1.76,75.0,,,,,,,3.0,,156.1,101.667,2021
Kazahi,Kanungu,,1553.909,47.636,39.545,1.616,327.5,,8.0,,1300.0,,,3.0,,117.5,129.0,2021
Kazindiro_Nangara,Rubanda,,1940.025,52.667,43.167,1.396,122.667,5.75,,,,,,8.5,,10.0,,2021
Kengyeya,Mitooma,,0.0,51.333,43.333,1.585,220.0,,4.0,,,,,6.0,,0.0,,2021
Kibeho,Rukungiri,,1807.683,51.917,32.5,1.175,140.0,,,,,,,,,56.6,100.0,2021
Kibishamwika,Mitooma,,1251.091,49.273,75.455,1.573,112.571,,2.0,,,,,3.0,,125.0,166.667,2021
Kigarama,Rukungiri,,1597.217,47.75,64.167,1.062,97.875,,,,,,,3.0,,84.222,67.5,2021
Kigongi,Rubanda,,1910.62,51.5,72.0,1.388,114.0,6.0,,,,,,3.8,,13.0,,2021
Kigoyi,Rukungiri,,1536.845,54.0,33.636,0.75,98.571,,5.5,,52.5,,,4.375,,80.0,82.0,2021
Kihengamo_Nyamweru,Rubanda,,1937.864,55.182,48.818,0.995,154.9,8.0,,110.0,,,,8.375,,20.0,,2021
Kihorongwa,Rubanda,,2007.9,48.417,78.083,0.196,141.75,6.0,,130.0,,,,45.611,,40.0,,2021
Kihumuro,Kanungu,,1413.727,43.0,22.727,1.091,216.625,,11.0,28.0,1300.0,75.0,,,,64.667,86.25,2021
Kiniogo,Rukungiri,,0.0,55.083,14.583,0.825,75.4,,,,60.0,,,9.0,,81.429,75.0,2021
Kinisya,Rukungiri,,1754.867,39.417,15.417,0.469,95.286,,,90.0,360.0,,,10.5,,22.75,200.0,2021
Kirama,Mitooma,,613.455,48.182,40.909,1.326,133.4,,,,35.0,110.0,,4.0,,25.0,120.0,2021
Kishanda,Kanungu,,1361.786,47.571,44.643,1.836,424.222,,,,1300.0,,,10.0,,90.0,66.0,2021
Kishegyere,Kanungu,,1482.0,44.917,48.333,1.867,452.0,,11.0,,998.75,,,3.0,,64.0,17.5,2021
Kisiizi_1,Mitooma,,574.167,41.667,56.667,0.948,45.0,,2.125,,,85.0,,4.8,,8.333,164.6,2021
Kisiizi_2,Mitooma,,777.0,45.333,47.917,0.542,119.167,,4.0,,,,,3.0,55.0,50.0,110.4,2021
Kitabugika_Mugyera,Rubanda,,2394.325,50.083,280.833,0.948,180.375,8.0,,,,,,35.214,,10.0,,2021
Kitahurira,Rubanda,,2121.16,56.6,48.5,0.741,135.375,8.0,,,,,,4.8,,,,2021
Kitebwe,Rukungiri,,0.0,50.8,50.8,0.6,88.667,,,,20.0,,,,,69.5,75.0,2021
Kitugunda,Rukungiri,,0.0,53.167,42.5,1.7,106.25,,1.917,30.0,31.5,130.0,,14.591,,147.917,87.5,2021
Kyabukama,Mitooma,,1597.917,51.25,49.167,0.871,104.444,,3.375,,,59.0,,4.333,65.0,22.0,,2021
Kyandago,Kanungu,,1387.182,48.818,31.455,1.095,218.333,,,,1300.0,,,3.0,,62.8,45.0,2021
Kyemengo,Mitooma,,1151.2,40.4,56.0,0.77,117.5,,,,,,,,,,,2021
Kyeshabo,Mitooma,,0.0,38.5,68.333,1.008,59.167,,,,,67.5,,3.0,,38.0,122.5,2021
Mabindi,Rukungiri,,2002.767,44.083,46.667,1.28,94.111,,,46.5,,,,2.0,,129.0,5.5,2021
Mayanja,Kanungu,,1398.0,50.333,42.583,1.946,295.556,,11.0,,1300.0,,,,,28.4,33.333,2021
Mirindi,Rubanda,,1905.708,45.833,50.833,1.096,135.7,77.625,,150.0,,,,3.417,,26.0,,2021
Mugina,Rukungiri,,1718.85,51.667,22.917,1.396,213.75,,,20.0,,,,,,64.545,3.0,2021
Murandi,Rubanda,,1989.69,45.9,42.5,0.98,90.714,,,110.0,,,,6.9,,12.5,,2021
Murubangye,Rubanda,,2147.75,54.1,58.5,1.02,145.1,9.0,,130.0,,,,58.929,,15.0,,2021
Murubaya,Rubanda,,2037.627,43.545,53.636,2.099,214.286,,,110.0,,,,24.9,,28.333,,2021
Muruhinga,Rubanda,,1965.878,50.111,25.222,0.536,135.286,20.0,,,,,,68.667,,0.0,,2021
Mushebeya,Rubanda,,2035.808,50.083,73.75,0.258,112.25,,,500.0,,,,48.917,,5.0,,2021
Mushongati_Nangara,Rubanda,,2052.033,48.583,50.417,1.02,145.2,10.0,,650.0,,,,6.833,,,,2021
Mushorero,Kanungu,,1661.545,41.545,91.818,1.514,446.667,,,,1300.0,,,3.0,,72.0,51.25,2021
Musirwe,Rubanda,,2077.109,47.636,58.636,0.997,171.625,13.0,,,,,,6.0,,30.0,0.0,2021
Muzinga,Mitooma,,1151.875,48.5,83.125,1.75,46.75,,2.667,,,,,2.75,,68.75,90.0,2021
Nangara,Rukungiri,,1864.767,53.583,86.5,1.056,151.375,,0.0,,70.0,,,7.0,68.0,78.333,70.0,2021
Ndaragi,Rukungiri,,865.892,45.333,45.833,1.042,81.333,,,80.0,50.0,,,1.167,,75.0,201.75,2021
Ndeego,Rubanda,,1977.992,40.923,18.462,1.438,106.0,5.5,,,,,,5.714,,0.0,,2021
Ndurumo_Rwoburunga,Mitooma,,1165.389,42.722,46.389,0.972,76.636,,0.5,,,120.0,,3.0,,62.1,42.0,2021
Numba,Rukungiri,,970.436,55.545,35.0,0.75,73.778,,,,55.0,,,1.375,,69.545,0.0,2021
Nyabisoni,Rukungiri,,1291.335,48.55,66.5,0.895,164.714,,,,215.0,,,1.833,,119.167,97.188,2021
Nyabiterekyere,Rukungiri,,0.0,47.364,55.909,1.034,110.0,,3.5,75.0,39.8,,,8.85,,102.0,67.944,2021
Nyabubaare,Mitooma,,459.167,34.583,78.333,0.621,61.1,,,100.0,,,,,20.0,187.5,48.333,2021
Nyabubare,Rukungiri,,554.425,54.0,47.083,1.02,87.833,,0.0,,210.0,,,4.25,,53.333,,2021
Nyabyogo,Rukungiri,,1640.32,51.6,33.6,0.882,66.143,,,,,,,4.0,,83.333,,2021
Nyabyondo_Rwoburunga,Mitooma,,1326.75,45.5,20.833,1.379,84.5,,,,13.0,,,8.0,15.0,53.333,65.0,2021
Nyakabale,Rukungiri,,1786.477,52.615,81.923,1.302,79.667,13.0,,,,,,6.25,,134.0,79.0,2021
Nyakagezi,Kanungu,,1368.333,58.0,40.417,1.021,240.833,,,,1300.0,,,2.5,,46.667,81.667,2021
Nyakagongo,Mitooma,,639.833,46.25,53.333,1.183,93.091,20.75,4.75,,,,,4.864,65.0,48.5,158.182,2021
Nyakarambi,Kanungu,,1340.375,55.25,36.875,1.3,315.0,,11.0,,1300.0,,,,,29.0,60.0,2021
Nyakashebeya,Mitooma,,1078.667,44.333,22.417,2.31,77.0,,,,,,,3.0,40.0,,150.0,2021
Nyakatoma,Kanungu,,1410.667,39.333,54.583,0.844,415.0,,,120.0,1300.0,,,,,65.2,80.0,2021
Nyakibuga,Kanungu,,1438.875,54.0,27.5,1.367,337.5,,11.0,,1300.0,,,,,34.0,20.0,2021
Nyakisoroza,Rukungiri,,1458.958,43.667,25.833,0.854,129.75,,,,7.0,,,2.0,65.0,49.0,44.0,2021
Nyamabare,Rukungiri,,1047.689,48.444,69.444,2.572,139.833,,,,91.0,,,11.0,,145.5,220.0,2021
Nyamicucu_Mugyera,Rubanda,,2333.05,59.667,165.0,0.849,162.5,6.8,,,,,,36.286,,7.0,,2021
Nyamirama,Rukungiri,,1580.755,52.364,21.818,1.023,79.714,,,,77.5,,,50.0,,73.0,76.375,2021
Nyamishamba,Kanungu,,1528.333,41.0,38.889,0.892,428.5,,,28.0,1044.6,,,3.0,,63.333,67.0,2021
Nyamisheshe,Mitooma,,642.9,44.5,43.0,0.84,134.375,,3.0,,30.0,,,6.75,,49.0,18.8,2021
Nyamizi,Kanungu,,1388.455,44.0,22.0,2.161,274.375,,11.0,,1300.0,,,,40.0,24.0,5.0,2021
Nyanga,Mitooma,,581.25,50.167,39.167,0.633,110.5,,3.0,,,,,10.0,95.0,19.875,1.714,2021
Nyarubare,Rukungiri,,0.0,45.083,38.167,1.427,150.5,60.0,5.0,,89.333,,,7.375,,174.091,186.0,2021
Nyaruhanga,Rukungiri,,1869.125,65.083,32.333,1.583,149.5,,,,100.0,,,2.0,,79.25,106.0,2021
Nyaruharo,Kanungu,,1375.75,42.417,66.667,1.417,325.0,,10.0,,1300.0,60.0,,7.5,,38.333,13.0,2021
Nyarurambi,Rukungiri,,1775.45,48.75,29.167,0.688,146.667,,,,,,,,,41.875,50.0,2021
Nyaruzinga,Mitooma,,1684.1,54.0,39.0,1.975,80.833,,,,,,,,55.0,41.7,60.0,2021
Nyarwanya_Rwanja,Mitooma,,1629.917,48.833,32.333,1.686,152.222,,,,,,,3.0,,50.667,45.5,2021
Omukatooma,Rukungiri,,1507.567,50.833,36.083,0.925,210.889,,,176.667,400.0,,,7.0,,38.0,100.0,2021
Omurutezo,Rukungiri,,1845.358,47.167,62.5,1.832,159.222,,3.0,,97.25,,,9.5,,91.25,100.0,2021
Omurwambu,Kanungu,,1378.0,51.6,16.0,0.781,431.667,,10.5,,1300.0,60.0,,7.5,,67.5,10.0,2021
Orujeebe,Mitooma,,818.667,50.167,45.0,0.845,80.0,,,,,,,,,0.0,0.0,2021
Rubaya,Mitooma,,606.273,37.273,39.091,0.886,68.75,,3.5,,,,,3.0,82.5,0.0,4.8,2021
Rugando_Rwanja,Mitooma,,1483.3,48.9,50.0,0.952,96.0,,,,,,,2.7,,31.667,153.333,2021
Rugasha,Rukungiri,,0.0,53.75,45.833,0.521,86.25,4.0,,,110.0,,,,130.0,52.0,33.833,2021
Rugoma,Rukungiri,,1839.283,47.667,24.333,0.562,113.25,,,,82.5,,,7.5,,76.667,1.0,2021
Ruhita,Rukungiri,,1633.257,36.286,89.286,1.157,79.0,,,,,,,2.0,,97.5,217.5,2021
Runyinya,Rukungiri,,1632.792,46.167,23.583,1.433,130.778,13.0,,,125.0,,,,,92.636,,2021
Rurama,Kanungu,,1525.667,43.167,47.917,0.687,287.0,,10.0,,874.333,60.0,,7.5,,50.0,51.5,2021
Rurindo,Rukungiri,,134.55,47.917,52.083,0.57,212.25,6.0,10.0,,90.0,,135.0,10.5,,,,2021
Rushaki,Rubanda,,1947.091,47.727,42.273,1.39,222.875,5.0,,,,,,8.333,,,,2021
Rushebeya,Rukungiri,,0.0,51.917,40.833,1.058,94.818,,2.25,,56.25,,,8.0,,124.667,89.4,2021
Rushoroza,Mitooma,,1165.273,47.818,32.3,1.131,81.333,,,,,120.0,,5.0,105.0,,1800.0,2021
Rutendere,Kanungu,,1315.154,53.154,56.154,0.568,460.0,,11.0,,1012.5,,,,,120.0,140.0,2021
Rutonde,Kanungu,,1462.417,46.5,34.833,1.104,315.0,,11.0,,874.333,,,,,47.2,135.333,2021
Rutoobo,Mitooma,,1141.0,45.182,64.909,1.094,84.0,,,,,,,3.0,,,75.0,2021
Rutooma,Rukungiri,,921.483,52.75,59.167,0.729,90.429,,,22.0,60.0,,,13.0,,91.25,1.875,2021
Ruzonga,Mitooma,,1127.5,46.5,50.167,1.475,74.0,,5.0,,,,,,,25.0,70.0,2021
Rwabutera,Kanungu,,1299.636,48.182,42.727,1.605,400.714,,10.0,,1300.0,,,,11.0,26.667,5.0,2021
Rwakutaka,Mitooma,,1581.4,43.9,34.0,1.54,90.0,,3.5,,,150.0,,6.45,,75.556,172.0,2021
Rwanama,Rukungiri,,1088.28,44.8,43.5,0.579,85876.0,,5.0,,,,,8.0,,110.0,70.0,2021
Rwangeru,Rukungiri,,455.608,41.583,40.0,0.944,103.375,,3.0,,90.0,,,9.5,,42.5,0.0,2021
Rwaseyeza,Rubanda,,2156.67,52.8,128.5,1.133,145.833,7.0,,,,,,8.714,,,,2021
Rwemirama,Mitooma,,0.0,38.545,55.455,0.584,97.4,,,,,80.0,,,,49.429,120.0,2021
Rwendahi,Kanungu,,1193.333,47.917,19.833,0.866,317.5,,11.0,,661.5,,,3.0,,52.0,107.833,2021
Rwenkyende,Kanungu,,1399.182,47.182,24.364,1.194,493.0,,,,1300.0,130.0,,,,37.5,5.0,2021
Rwere,Rukungiri,,1650.945,49.818,42.727,0.841,169.167,,,,125.0,,,,,43.273,,2021
Rwoburunga,Mitooma,,1204.667,44.583,40.0,1.688,65.0,,5.0,,,,,3.333,105.0,33.0,42.0,2021
Rwongora,Mitooma,,1597.889,51.222,79.444,1.044,121.429,20.0,2.0,,,,,5.0,62.0,77.143,43.333,2021
Rwonyo,Rukungiri,,1659.208,46.667,25.0,1.188,81.25,,,,,,,,,37.5,,2021
