pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Hakondo,KAGADI,KISUNGU,1253.083,51.0,88.333,0.501,461.25,,,,191.667,,,,,8.0,0.0,2020
Humura,KAGADI,KAMUSEEGU,1262.333,42.833,86.667,0.609,186.667,,,,500.0,,,,,18.4,25.0,2020
Ibanda,KAGADI,KASOGA,1210.333,59.167,101.667,1.345,101.0,,,,496.667,,,,,37.2,,2020
Igongwe,KYENJOJO,NYAMICU,1269.7,51.9,73.1,4.685,133.571,3.075,0.5,400.0,1206.667,200.0,,0.0,,28.25,1267.5,2020
Igunga,KYENJOJO,KIJENGI,1237.167,39.75,60.0,1.829,368.0,30.0,,,2400.0,,,,,33.333,0.0,2020
Irangara,MITOOMA,RUREHE SOUTH,1697.167,42.917,68.75,1.608,101.3,,2.0,,,,,2.0,,136.909,75.0,2020
Iraramira 1,MITOOMA,IRARAMIRA,1211.417,38.917,42.5,0.938,128.75,,,,,,,,,,,2020
Iraramira 2,MITOOMA,IRARAMIRA,1223.583,42.25,84.167,1.458,112.222,,2.0,,110.0,,,1.667,120.0,110.909,213.636,2020
Iraramira Central,MITOOMA,IRARAMIRA,1266.167,48.667,82.083,1.162,59.5,,,,,,,,,51.75,117.143,2020
Itaha,KAGADI,NYAKARONGO,1249.8,44.5,47.3,3.218,100.0,,,,287.0,,,,,114.5,250.5,2020
Itara,MITOOMA,KATAGATA,1581.583,40.667,29.583,0.687,64.5,,,,,300.0,,8.0,,46.7,72.6,2020
Kaberebere,KYENJOJO,BYERWA,1293.455,43.0,110.455,1.755,128.75,19.333,,,1100.0,,,,,20.0,,2020
Kabingo,KISORO,CHAHAFI,1889.167,46.917,44.167,0.683,148.75,12.0,,,90.0,,,6.471,,4.286,,2020
Kaborogota A,MITOOMA,RUTOOMA,786.167,50.417,32.5,1.206,97.5,,3.8,,23.0,,,7.188,,181.667,103.909,2020
Kaborogota B,MITOOMA,RUTOOMA,0.0,44.222,51.944,1.406,100.0,,,,,65.0,,,,249.6,80.0,2020
Kabuga A,KAGADI,KABUGA,1258.333,41.083,40.833,4.0,260.0,,,,700.0,,,,,67.5,,2020
Kabuga B,KAGADI,NYAMACUMU,1267.667,38.167,32.083,0.794,191.0,,,,150.0,,,,,22.5,25.0,2020
Kabungo,MITOOMA,RWANJA WEST,1403.667,48.0,51.25,0.638,42.25,,,,29.0,,,,,,0.0,2020
Kaburara,MITOOMA,IRARAMIRA,1218.25,46.917,42.5,1.571,71.125,,5.0,200.0,21.5,,,7.6,70.0,79.545,162.222,2020
Kace-Iterero,RUKUNGIRI,NYAK-KACENCE,1286.583,47.25,26.667,0.875,93.571,4.5,,,,,,0.667,,52.857,0.0,2020
Kace-Kababagi,RUKUNGIRI,NYAK-KACENCE,883.583,49.0,35.0,0.646,121.2,,,,90.0,,,,,61.364,50.0,2020
Kace-Kacence,RUKUNGIRI,NYAK-KACENCE,1756.75,47.0,27.083,0.971,139.778,,,,,,,,,101.455,,2020
Kace-Kahara,RUKUNGIRI,NYAK-KACENCE,1880.75,59.333,53.167,1.979,110.833,,,,,,,2.0,,92.7,87.5,2020
Kace-Kiniogo,RUKUNGIRI,NYAK-KACENCE,0.0,55.083,14.583,0.825,68.0,,,,,,,,,91.0,10.0,2020
Kace-Kinisya,RUKUNGIRI,NYAK-KACENCE,1763.0,37.667,16.667,0.771,68.4,,,,0.0,,,1.0,,20.0,,2020
Kace-Kinisya,Rukungiri,NYAK-KACENCE,1746.833,41.167,14.167,0.167,,,,,,,,,,6.0,,2020
Kace-Mabindi,RUKUNGIRI,NYAK-KACENCE,2002.833,44.083,46.667,1.325,73.375,,,46.5,,,,,,10.0,,2020
Kace-Numba,RUKUNGIRI,NYAK-KACENCE,889.667,56.167,34.583,1.021,83.2,,,,55.0,,,1.4,,25.0,0.0,2020
Kace-Nyabiterekyere,RUKUNGIRI,NYAK-KACENCE,0.0,44.286,68.571,1.393,126.429,,4.0,,45.0,,,9.5,,145.0,64.0,2020
Kace-Nyabiterekyere,Rukungiri,NYAK-KACENCE,0.0,55.2,45.0,0.725,107.0,,,75.0,32.0,,,8.25,,65.0,63.0,2020
Kace-Nyakisoroza,RUKUNGIRI,NYAK-KACENCE,1459.0,43.667,25.833,0.854,117.222,,,,7.0,,,2.0,65.0,33.75,,2020
Kace-Rugoma,RUKUNGIRI,NYAK-KACENCE,1839.333,47.667,24.333,0.562,81.333,,,,82.5,,,4.0,,,,2020
Kace-Rwangeru,RUKUNGIRI,NYAK-KACENCE,455.667,41.583,40.0,0.944,82.429,,,,,,,,,27.143,0.0,2020
Kace-Rwonyo,RUKUNGIRI,NYAK-KACENCE,1659.417,46.667,25.0,1.188,81.25,,,,,,,,,37.5,,2020
Kadugu,KYENJOJO,KANYEGARAMIRE,625.583,31.083,29.583,0.188,150.714,204.067,,,955.0,,,2.0,,48.333,0.0,2020
Kafu-Bugandaza,RUKUNGIRI,NYAK-KAFUNJO,1851.7,48.778,58.333,0.885,25.0,,,300.0,,,,8.5,,78.0,1.0,2020
Kafu-Bugomora,RUKUNGIRI,NYAK-KAFUNJO,0.0,46.833,66.667,0.792,60.0,,,110.0,,,,,,22.3,3.0,2020
Kafu-Kabijaga,RUKUNGIRI,NYAK-KAFUNJO,895.167,50.083,42.5,1.167,103.0,9.0,,170.0,,,,6.333,,62.625,15.0,2020
Kafu-Kabuzigye,RUKUNGIRI,NYAK-KAFUNJO,1956.0,49.25,26.833,1.021,46.571,,,,,,,,,60.333,12.5,2020
Kafu-Kafunjo Cell,RUKUNGIRI,NYAK-KAFUNJO,910.25,36.833,17.5,1.417,66.571,5.5,,200.0,50.0,,,7.5,,29.167,35.0,2020
Kafu-Kagasha,RUKUNGIRI,NYAK-KAFUNJO,2039.5,42.125,111.25,1.072,127.0,,,151.667,,,4.0,3.333,,66.667,,2020
Kafu-Kagorogoro,RUKUNGIRI,NYAK-KAFUNJO,0.0,43.5,32.5,0.658,104.125,,3.0,,,,,7.286,,61.3,4.0,2020
Kafu-Kajubwe,RUKUNGIRI,NYAK-KAFUNJO,1824.583,55.25,22.583,0.925,,,,,,,,28.0,,36.273,,2020
Kafu-Kijubwe,RUKUNGIRI,NYAK-KAFUNJO,450.545,48.364,30.091,0.436,40.667,,,,,,,5.0,,17.667,,2020
Kafu-Nyabishaki,RUKUNGIRI,NYAK-KAFUNJO,1072.583,48.5,162.5,0.983,83.75,,,,,,,73.5,,,0.0,2020
Kafu-Nyakakizi,RUKUNGIRI,NYAK-KAFUNJO,822.667,49.778,26.889,1.128,152.5,,,,,,,2.5,,0.0,,2020
Kafu-Nyamabare,RUKUNGIRI,NYAK-KAFUNJO,0.0,41.25,40.0,0.525,60.0,,,,,,,,,63.889,0.0,2020
Kafu-Nyaruziba,RUKUNGIRI,NYAK-KAFUNJO,0.0,50.545,30.818,0.509,76.5,,10.0,280.0,,,,3.0,,55.667,,2020
Kafu-Rugandu,RUKUNGIRI,NYAK-KAFUNJO,1883.417,51.167,28.75,0.6,,,,120.0,,,,1.75,,9.667,,2020
Kafu-Rugazi,RUKUNGIRI,NYAK-KAFUNJO,1610.3,49.2,29.3,0.45,17.0,,,,,,,,,16.333,,2020
Kafu-Rutooma,RUKUNGIRI,NYAK-KAFUNJO,0.0,55.5,31.6,1.322,76.4,2.5,,,,,,5.786,,101.8,6.333,2020
Kafunjo,MITOOMA,KAGATI,0.0,41.5,50.417,1.255,60.4,,,,,,,,80.0,1030.0,263.333,2020
Kagati,MITOOMA,KIYANGA,0.0,37.417,53.75,1.646,62.0,,,120.0,,,,,,22.5,92.0,2020
Kagezi,KYENJOJO,KISANSA,1173.417,42.25,31.667,2.392,300.0,12.5,40.0,,1557.5,,,,,42.857,27.125,2020
Kagugo,KAGADI,KATIKENGEYE,1217.083,43.833,49.25,0.408,512.5,,,,650.0,,,,,,,2020
Kaguhyo,KYENJOJO,KIJENGI,1263.167,38.417,44.167,1.892,185.0,,,,2025.0,,,,,16.0,,2020
Kahesha,MITOOMA,KASHONGORERO,1240.833,43.667,50.0,2.692,91.25,7.5,,,45.0,,,8.667,65.75,97.5,210.455,2020
