pre_village,pre_district,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Kishanda,Kanungu,1361.7857142857142,47.57142857142857,1.8360714285714288,44.642857142857146,424.22222222222223,,,,1300.0,,,10.0,,90.0,66.0,2021
Kishegyere,Kanungu,1482.0,44.916666666666664,1.8666666666666665,48.333333333333336,452.0,,11.0,,998.75,,,3.0,,64.0,17.5,2021
Kisiizi_1,Mitooma,574.1666666666666,41.666666666666664,0.9479166666666666,56.666666666666664,45.0,,2.125,,,85.0,,4.8,,8.333333333333334,164.6,2021
Kisiizi_2,Mitooma,777.0,45.333333333333336,0.5416666666666666,47.916666666666664,119.16666666666667,,4.0,,,,,3.0,55.0,50.0,110.4,2021
Kitabugika_Mugyera,Rubanda,2394.3250000000003,50.083333333333336,0.9479166666666666,280.8333333333333,180.375,8.0,,,,,,35.214285714285715,,10.0,,2021
Kitahurira,Rubanda,2121.16,56.6,0.7413000000000001,48.5,135.375,8.0,,,,,,4.8,,,,2021
Kitebwe,Rukungiri,0.0,50.8,0.6,50.8,88.66666666666667,,,,20.0,,,,,69.5,75.0,2021
Kitugunda,Rukungiri,0.0,53.166666666666664,1.7,42.5,106.25,,1.9166666666666667,30.0,31.5,130.0,,14.590909090909092,,147.91666666666666,87.5,2021
Kyabukama,Mitooma,1597.9166666666667,51.25,0.8708333333333332,49.166666666666664,104.44444444444444,,3.375,,,59.0,,4.333333333333333,65.0,22.0,,2021
Kyandago,Kanungu,1387.1818181818182,48.81818181818182,1.0954545454545455,31.454545454545453,218.33333333333334,,,,1300.0,,,3.0,,62.8,45.0,2021
Kyemengo,Mitooma,1151.2,40.4,0.77,56.0,117.5,,,,,,,,,,,2021
Kyeshabo,Mitooma,0.0,38.5,1.0083333333333335,68.33333333333333,59.166666666666664,,,,,67.5,,3.0,,38.0,122.5,2021
Mabindi,Rukungiri,2002.7666666666667,44.083333333333336,1.28,46.666666666666664,94.11111111111111,,,46.5,,,,2.0,,129.0,5.5,2021
Mayanja,Kanungu,1398.0,50.333333333333336,1.9458333333333335,42.583333333333336,295.55555555555554,,11.0,,1300.0,,,,,28.4,33.333333333333336,2021
Mirindi,Rubanda,1905.7083333333333,45.833333333333336,1.0958333333333334,50.833333333333336,135.7,77.625,,150.0,,,,3.4166666666666665,,26.0,,2021
Mugina,Rukungiri,1718.8500000000001,51.666666666666664,1.3958333333333333,22.916666666666668,213.75,,,20.0,,,,,,64.54545454545455,3.0,2021
Murandi,Rubanda,1989.69,45.9,0.9800000000000001,42.5,90.71428571428571,,,110.0,,,,6.9,,12.5,,2021
Murubangye,Rubanda,2147.75,54.1,1.02,58.5,145.1,9.0,,130.0,,,,58.92857142857143,,15.0,,2021
Murubaya,Rubanda,2037.6272727272728,43.54545454545455,2.099090909090909,53.63636363636363,214.28571428571428,,,110.0,,,,24.9,,28.333333333333332,,2021
