pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Karambi,KISORO,CHAHAFI,2073.083,48.25,49.583,0.683,113.333,25.0,,140.0,45.0,,,13.6,,2.625,,2020.0
Karangara,KYENJOJO,NYAMICU,1292.25,44.333,42.5,1.812,234.091,20.75,5.0,,721.0,,,14.0,,140.0,40.0,2020.0
Karembo,Rubirizi,Rugarama,1048.2124999999999,42.875,31.041666666666668,0.9291666666666667,123.8,11.5,4.0,,122.5,180.0,,5.0,108.16666666666667,64.6842105263158,165.34375,2022.0
Karimongora,MITOOMA,RUREHE SOUTH,883.25,58.5,35.833,1.592,82.4,,3.0,,40.0,,,10.667,120.0,147.273,212.857,2020.0
Karokarungi,KAGADI,NYAKARONGO,1267.333,48.167,60.0,1.657,517.5,,,,1270.0,,,,,,,2020.0
Karokarungi,KYENJOJO,RUKUKURU,1252.083,49.25,52.5,1.042,153.333,,,,1100.0,,,,,206.667,,2020.0
Karokarungi,MITOOMA,RWOBURUNGA,570.167,42.0,43.333,1.602,35.0,,0.0,,,,,2.75,40.0,0.0,,2020.0
Karokarungi A,MITOOMA,KASHONGORERO,1208.083,35.75,97.5,1.706,65.667,,,,,,,,,52.0,74.0,2020.0
Karokarungi B,MITOOMA,KASHONGORERO,636.5,46.75,64.583,0.771,133.889,,,,,50.0,,1.5,,35.0,46.667,2020.0
Karondo,Rubanda,Kashasha,2004.9363636363635,40.63636363636363,52.81818181818182,0.7085909090909092,66.5,7.5,,220.0,,,,,,10.6,,2022.0
Karubanju,KYENJOJO,KANYEGARAMIRE,1246.692,35.083,26.833,1.55,302.857,14.0,,,2127.5,,,13.0,,50.0,,2020.0
Karukare,MITOOMA,RWANJA EAST,839.917,48.417,46.667,1.333,168.333,,,140.0,,,,5.0,,94.167,138.0,2020.0
Karukujenge,KYENJOJO,MBURARA,1200.615,38.0,36.667,0.755,128.333,9.0,4.5,,511.4,,,9.5,,50.0,10.0,2020.0
Kasaba A,Kyenjojo,Kasaba,1363.8999999999999,52.666666666666664,54.166666666666664,1.8583333333333334,189.44444444444446,2.6,17.1,,188.5,,,22.0,,12.0,9.75,2022.0
Kasaba B,Kyenjojo,Kasaba,1150.6166666666666,38.5,64.16666666666667,1.2583333333333333,136.66666666666666,11.25,6.0,,250.0,,,,,16.166666666666668,,2022.0
Kasaba C,Kyenjojo,Kasaba,1346.3818181818183,42.27272727272727,30.90909090909091,1.5636363636363635,119.8,12.675,6.0,,286.5,,,6.15,,15.142857142857142,16.5,2022.0
Kasaba T/C,Kyenjojo,Kasaba,1411.65,55.0,37.7,7.1800000000000015,248.33333333333334,14.5625,13.833333333333334,,244.375,,,8.84,,28.444444444444443,34.25,2022.0
Kasarule,KYENJOJO,BIGANDU,1232.417,43.667,55.833,1.729,175.0,8.0,10.4,,576.0,,,,,41.0,250.0,2020.0
Kashambya,MITOOMA,KAGATI,1147.333,51.083,75.833,1.367,102.143,,20.0,,,,,1.833,,117.143,252.5,2020.0
Kashambya_Kacerere,Rubanda,Mukitojo,2091.6583333333333,45.666666666666664,15.25,1.0166666666666666,209.0,202.0,,,,,,70.0,,29.0,,2022.0
Kashambya_Mugyera,Rubanda,Mugyera,2027.7888888888888,51.22222222222222,46.666666666666664,2.3666666666666667,165.55555555555554,,,,,,,5.75,,26.666666666666668,,2022.0
Kashamwe,MITOOMA,RUREHE SOUTH,779.917,47.167,31.25,1.386,37.571,,2.0,,,,,1.867,,0.0,0.0,2020.0
Kashasha,MITOOMA,KASHASHA,1158.833,43.167,59.583,0.858,53.571,,2.5,,,,,2.0,,47.857,98.333,2020.0
Kashasha_Ikumba,Rubanda,Kashasha,1977.65,47.3,61.5,1.04,126.75,13.583333333333334,,,,,,4.0,,20.714285714285715,,2022.0
Kashongati,Rubanda,Kishanje,2090.866666666667,48.583333333333336,42.916666666666664,0.7291666666666666,108.0,,,193.33333333333334,,,,11.166666666666666,,7.142857142857143,,2022.0
Kashongorero,MITOOMA,KASHONGORERO,586.75,45.0,52.5,1.225,64.0,,,,47.0,,,,,40.0,190.0,2020.0
Kashule,Rubanda,Nyamabare,2008.0916666666665,52.583333333333336,57.916666666666664,0.5875,100.0,4.0,,,,,,3.0,,5.25,,2022.0
Kasimbi,Kagadi,Ndeeba,1076.175,44.166666666666664,38.958333333333336,1.4781250000000001,136.8095238095238,,6.9,,124.0,,,3.925,126.66666666666667,39.588235294117645,49.285714285714285,2022.0
Kasoga,KAGADI,KASOGA,1223.167,42.917,46.667,2.8,150.833,25.0,,,256.667,,,,,80.0,163.333,2020.0
Kasoga C,KAGADI,KASOGA,1233.667,45.583,39.583,1.146,510.0,,,,,,,,,,,2020.0
Kasozi,Kagadi_GAC,Buhumuriro,1116.2916666666667,56.166666666666664,24.166666666666668,1.3291666666666666,304.0,,,,240.0,,,,104.0,44.0,176.66666666666666,2022.0
Katabago_I,Rubirizi,Kyabakara,1003.6967741935483,45.483870967741936,19.548387096774192,0.8709677419354839,120.0,4.5,6.916666666666667,,121.11111111111111,150.0,,,135.0,56.8,117.14285714285714,2022.0
Katabago_II,Rubirizi,Kyabakara,1016.4433333333333,52.4,20.5,1.920689655172414,115.28571428571429,2.75,51.25,,69.8,,,,73.0,116.93103448275862,92.5,2022.0
Katagata,MITOOMA,KATAGATA,1330.75,50.083,65.0,0.93,51.4,,1.0,,,,,3.0,,0.0,0.0,2020.0
Katangyemeko,MITOOMA,KASHASHA,477.25,42.75,71.917,1.782,53.333,,,,,,,,65.0,67.0,47.143,2020.0
Katehe,Rubirizi,Nyabubare,1095.625,45.791666666666664,24.791666666666668,1.3727272727272728,132.91666666666666,,5.0,,690.0,,,,40.0,57.416666666666664,222.72727272727272,2022.0
Kateija,MITOOMA,IRARAMIRA,579.333,39.833,63.75,1.321,81.364,,3.25,,,45.0,,6.455,45.0,60.333,153.182,2020.0
Katelemwa A,KAGADI,KATELEMWA,1263.0,45.75,43.75,1.01,167.857,,2.0,,623.333,,,,,10.0,0.0,2020.0
Katelemwa B,KAGADI,KATELEMWA,1288.083,41.75,35.667,0.583,180.0,,,,,,,,,,,2020.0
Kati A,MITOOMA,KATI,1560.667,49.917,29.583,1.271,157.0,,,,,,,,,98.75,9.5,2020.0
Kati B,MITOOMA,KATI,771.583,47.583,46.25,1.479,101.667,,,,,,,,,163.2,120.0,2020.0
Katikara,KAGADI,NYAMASA,632.417,47.333,71.667,1.557,322.0,,,,1100.0,,,,,70.0,250.0,2020.0
Katikengeye Central,KAGADI,KATIKENGEYE,1219.083,51.0,61.667,1.146,390.0,,,,1166.667,,,,,30.0,,2020.0
Kato-Bugarama,RUKUNGIRI,NYAK-KATONYA,0.0,55.333,83.417,0.873,59.778,1.5,,35.0,,140.0,,5.812,,109.167,407.5,2020.0
Kato-Burebane,RUKUNGIRI,NYAK-KATONYA,812.417,47.417,55.417,0.775,41.25,,,30.0,,,,4.0,,,,2020.0
Kato-Kajumera,RUKUNGIRI,NYAK-KATONYA,934.75,48.0,28.333,1.546,119.0,,,,84.0,200.0,,8.5,,161.727,250.0,2020.0
Kato-Kashenyi,RUKUNGIRI,NYAK-KATONYA,0.0,46.833,75.833,0.292,53.333,,,,,,,,,24.111,43.333,2020.0
Kato-Mugurante,RUKUNGIRI,NYAK-KATONYA,0.0,46.909,50.0,1.414,24.5,3.5,,,,,,5.0,,146.0,,2020.0
Kato-Mukajagiro,RUKUNGIRI,NYAK-KATONYA,1868.417,53.083,34.417,0.688,170.0,,,,,,,,,45.625,,2020.0
Kato-Mushunga,RUKUNGIRI,NYAK-KATONYA,0.0,43.417,33.333,1.246,44.5,,,53.0,,,,7.0,,56.0,,2020.0
Kato-Ndyabihanga,RUKUNGIRI,NYAK-KATONYA,1914.667,46.0,40.417,0.562,33.333,,,,,,,3.167,,15.0,,2020.0
Kato-Nyakabare,RUKUNGIRI,NYAK-KATONYA,1793.25,49.417,61.667,1.656,129.0,,,425.0,,,,4.733,,94.636,,2020.0
Kato-Nyakabungo,RUKUNGIRI,NYAK-KATONYA,856.286,57.667,38.333,1.689,136.667,,,,35.0,130.0,,9.0,,151.818,23.333,2020.0
Kato-Nyakashenyi,RUKUNGIRI,NYAK-KATONYA,1438.167,55.083,49.583,0.604,19.571,,,,,,,3.75,,,,2020.0
Kato-Nyarubira,RUKUNGIRI,NYAK-KATONYA,2085.5,43.583,99.167,1.425,44.25,,,,,,,,,40.0,,2020.0
Kato-Rugarama,RUKUNGIRI,NYAK-KATONYA,0.0,50.583,90.0,0.817,81.083,,3.5,281.5,220.0,17.0,,5.778,,45.5,3.0,2020.0
Kato-Ruhonwa,RUKUNGIRI,NYAK-KATONYA,1546.417,45.917,36.854,0.833,37.333,,,,,,,2.667,,,0.0,2020.0
Kato-Rujoka,RUKUNGIRI,NYAK-KATONYA,1988.667,43.667,54.167,0.688,45.8,,,,26.0,,,,,23.0,,2020.0
Kato-Rutooma,RUKUNGIRI,NYAK-KATONYA,2017.5,48.833,55.0,0.592,,,,70.0,,,,110.0,,28.333,100.0,2020.0
Kato-Rwangura,RUKUNGIRI,NYAK-KATONYA,934.0,54.25,25.333,1.098,81.667,,,,,,,,,30.0,0.0,2020.0
Katojo,Rubanda,Kashasha,1798.9181818181817,43.90909090909091,42.27272727272727,0.3772727272727273,165.0,11.5,,,,,,2.9,,4.166666666666667,,2022.0
Katungu_Kacerere,Rubanda,Kacerere,2108.8900000000003,51.0,35.0,1.3122,192.0,12.5,,,,,,7.5,,,,2022.0
Katuugu,KYENJOJO,KISANSA,1076.923,40.154,23.692,0.496,249.444,150.667,20.5,,933.333,,,7.0,,41.75,97.5,2020.0
Katuugu Central,KYENJOJO,KISANSA,1248.417,42.0,43.75,0.654,128.25,,,,400.0,,,,,10.667,9.5,2020.0
Keiha,KAGADI,MABERENGA,1194.5,45.333,79.583,0.323,265.0,,,,245.0,,,,,15.0,0.0,2020.0
Kengoma_Kihembe,Kanungu,Kihembe,1147.28,43.93333333333333,32.5,1.3810344827586205,90.62068965517241,9.0,12.175,86.25,93.92307692307692,127.6,,3.5,41.714285714285715,10.166666666666666,186.92307692307693,2022.0
Kengyeya,MITOOMA,RWOBURUNGA,0.0,51.333,43.333,1.585,,,4.5,,,,,7.0,,0.0,,2020.0
Kenshumba,MITOOMA,KATAGATA,1617.417,44.5,31.583,1.104,85.25,,,,,,,,,51.4,92.8,2020.0
Kibanda_A,Kagadi,Ndeeba,1087.3583333333333,50.125,38.666666666666664,0.6875,120.3125,,,,132.22222222222223,,,,95.0,51.6,60.0,2022.0
Kibanda_B,Kagadi,Ndeeba,1048.1947368421054,42.10526315789474,35.78947368421053,0.6986842105263158,173.92857142857142,,,,126.25,,,,,90.0,92.0,2022.0
Kibanda_TC,Kagadi,Ndeeba,1063.775,42.15,28.25,0.615,163.25,,,,128.75,,,,142.5,25.272727272727273,56.666666666666664,2022.0
Kibara,Rubanda,Rwakaroro,2084.8416666666667,49.333333333333336,60.833333333333336,0.6666666666666666,137.72727272727272,1.5,,220.0,,,,10.333333333333334,,3.888888888888889,,2022.0
Kibare,Rubanda,Ruhungu,2039.6499999999999,57.583333333333336,49.583333333333336,0.7166666666666668,116.1,26.0,,,,,,6.125,,32.666666666666664,,2022.0
Kibaya,MITOOMA,KASHASHA,578.5,49.583,37.083,0.896,95.5,,1.667,,,50.0,,6.5,35.5,18.0,9.2,2020.0
Kibingo,MITOOMA,KASHASHA,1175.083,46.5,29.167,1.371,110.0,,,,19.25,,,8.4,85.0,73.333,109.778,2020.0
Kibishamwika,MITOOMA,KIYANGA,1249.333,47.75,79.167,1.508,116.875,20.0,2.75,,800.0,,,6.0,,166.25,206.25,2020.0
Kibiso,KAGADI,KAMUSEEGU,1268.167,51.417,39.583,0.669,295.0,,,,280.0,,,,,61.333,150.0,2020.0
Kibuga_A,Kagadi,Ndeeba,1102.8366666666666,46.8,42.96666666666667,1.3916666666666666,156.03571428571428,,8.142857142857142,,148.07692307692307,,,6.6,233.88888888888889,40.4,31.11111111111111,2022.0
Kibuga_B,Kagadi,Ndeeba,1113.25,40.333333333333336,51.416666666666664,0.65,151.58333333333334,,5.0,,123.18181818181819,,,4.25,240.0,29.5,70.0,2022.0
