pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield
Bunabiro,Kaliro,Gadumire,1055.2,30.0,120.0,,,,,,160.0,,,,,,
Buseru,Kaliro,Butambala,1033.7,45.0,120.0,0.8,,,,,,,,,,,200.0
Lake_Nakuwa,Kaliro,Panyolo,1028.6,70.0,60.0,,40.0,,4.0,,200.0,,,,,0.0,
Busiro_Cenral,Kaliro,Panyolo,1049.2,27.0,20.0,0.3,,,,,,,,,,,
Iguliryo,Kaliro,Panyolo,1036.1,70.0,3.0,2.0,,,,,300.0,,,,,,
Bususwa,Kaliro,Gadumire,1043.0,26.0,90.0,1.8,14.5,,,,60.0,,,,,,
Wamusuta,Kaliro,Gadumire,1059.8,28.0,2.0,0.0,,,,,60.0,,,,,,
Busiro_Tabina,Kaliro,Panyolo,1042.4,36.0,120.0,,,,,,,,,,,,
Butambala,Kaliro,Butambala,1031.6,24.0,10.0,,,,,,,,,,,,
Nabweyo,Kaliro,Gadumire,1054.5,28.0,60.0,,,,,,,,,,,,
Ireehe,Kaliro,Butambala,1027.4,28.0,40.0,0.25,,,,,,,,,,,
Bwisanga_Isalo,Kaliro,Isalo,1033.5,22.0,40.0,,,,,,140.0,,,,,,
Iguliryo,Kaliro,Panyolo,1027.7,50.0,160.0,0.0,,,,,180.0,,,,,,
Iguliryo,Kaliro,Panyolo,1033.5,31.0,50.0,1.0,,,,,400.0,,,,,,
Isaalo,Kaliro,Isalo,1031.7,39.0,30.0,,,,,,,,,,,,
Nyolo,Kaliro,Panyolo,1040.6,70.0,60.0,0.25,,,,,12.0,,,,,,
Lake_Nakuwa,Kaliro,Panyolo,1042.1,32.0,30.0,0.2,,,,,,,,,,,
Buseta,Kaliro,Isalo,1020.6,67.0,30.0,,,,,,200.0,,,,,,
Nansohera_B,Kaliro,Bupyana,1036.0,44.0,65.0,,,,,,400.0,,,,,,
Busiro_Tabina,Kaliro,Panyolo,1038.4,42.0,240.0,0.0,,,,,160.0,,,,,,
Busege,Kaliro,Panyolo,1063.3,32.0,60.0,1.0,,,,,600.0,,,,,,
Nyolo,Kaliro,Panyolo,1024.5,23.0,160.0,,,,,,120.0,,,,,,
Bwisanga_Isalo,Kaliro,Isalo,1025.9,29.0,25.0,1.2,,,,,,,,,,,
Bunabiro,Kaliro,Gadumire,1062.6,48.0,45.0,0.9,50.0,,,,,65.0,,,,10.0,
Nyolo,Kaliro,Panyolo,1036.2,22.0,45.0,,30.0,,22.0,,70.0,,,25.0,,5.0,
Bugada_Gadumire,Kaliro,Gadumire,1056.3,58.0,60.0,0.0,,,,,200.0,,,,,,
Kyamba,Kaliro,Bupyana,0.0,70.0,30.0,2.0,,,,,,,,,,,
Busege,Kaliro,Panyolo,1039.0,48.0,60.0,2.0,,,,,200.0,,,,,15.0,
Gadumire_T/C,Kaliro,Gadumire,1080.3,63.0,60.0,1.0,,,,,,,,,,,
Wamusuta,Kaliro,Gadumire,1056.3,22.0,60.0,0.5,,,,,240.0,,,,,,
Nakisenyi,Kaliro,Panyolo,1034.5,55.0,60.0,2.5,,,,,400.0,,,,,,
Busege,Kaliro,Panyolo,1056.1,26.0,45.0,0.8,90.0,,,,100.0,,,,,,
Kyamba,Kaliro,Bupyana,1048.5,45.0,0.8,0.3,,,,,,,,,,,
Busiro_Tabina,Kaliro,Panyolo,1017.4,35.0,360.0,0.5,,,,10.0,,,,,,2.0,
Bugonya,Kaliro,Gadumire,1062.8,30.0,60.0,0.0,,,,,400.0,,,,,,
Buseta,Kaliro,Isalo,1037.0,27.0,30.0,,,,,,92.0,,,,,,
Kiranga_A,Kaliro,Bupyana,1035.4,30.0,45.0,0.0,,,,,92.0,,,,,,
Namukoko,Kaliro,Bupyana,1034.8,41.0,120.0,2.0,,,,,200.0,,,,,,
Busiro_Tabina,Kaliro,Panyolo,1019.4,21.0,540.0,0.3,,,,,20.0,,,,,,
Bugada_Gadumire,Kaliro,Gadumire,1094.6,21.0,30.0,1.0,,,,,100.0,,,,,,
Wamusuta,Kaliro,Gadumire,1041.4,22.0,20.0,,23.0,,,,180.0,,,7.0,,,
Busege,Kaliro,Panyolo,1017.2,21.0,30.0,,,,,,380.0,,,,,,
Gadumire_T/C,Kaliro,Gadumire,1058.7,31.0,20.0,2.0,,,,,120.0,,,,,,
Gadumire_T/C,Kaliro,Gadumire,1041.9,50.0,60.0,1.5,,,,,480.0,,,,,,
Nakisenyi,Kaliro,Panyolo,1033.7,45.0,60.0,0.5,,,,,,,,,,,
Buvundya,Kaliro,Bupyana,1017.4,37.0,60.0,0.5,,,,,140.0,,,,,,
Kyamba,Kaliro,Bupyana,1025.9,46.0,20.0,1.5,,,,,40.0,,,,,,
Busiginyi,Kaliro,Isalo,1041.8,47.0,2.0,0.0,,,,,,,,,,,
Nansohera_B,Kaliro,Bupyana,1027.3,67.0,20.0,2.0,,,,,2000.0,,,,,,
Bwisanga_Isalo,Kaliro,Isalo,1027.9,21.0,10.0,,,,,,8.0,,,23.0,,,
Namukoko,Kaliro,Bupyana,1054.5,36.0,60.0,2.5,,,,,2000.0,,,,,,
